诉讼（仲裁）基本 情况,涉案金额 （万元）,是否形 成预计 负债,诉讼（仲裁）进 展,诉讼（仲裁）审理结 果及影响,诉讼（仲裁）判 决执行情况,披露 日期,披露 索引
截止到2025年12 月31日（含往年 结转），本公司及 下属子公司诉其他 单位及个人案件合 计325件,"40,722.1",否,部分案件审理 中；部分案件已 调解、已判决执 行中或执行完毕,"前述诉讼（仲裁）事 项主要为公司为原告 的买卖合同纠纷,部 分回款后公司撤诉， 对公司无重大影响",部分案件审理 中；部分案件已 调解、已判决执 行中或执行完毕,,
截止到2025年12 月31日（含往年 结转），其他单位 及个人诉本公司及 下属子公司案件合 计13件,"6,162.3",否,部分案件审理 中；部分案件对 方已撤诉、我司 胜诉或调解结案,前述诉讼（仲裁）事 项对公司无重大影响,部分案件审理 中；部分案件对 方已撤诉、我司 胜诉或调解结案,,
