项目,期末,,,
,账面余额（元）,账面价值（元）,受限类型,受限情况
货币资金,"282,273,141.61","282,273,141.61",使用受限,保证金、境外子公司受当地政府管控的资金等
应收票据,"2,553,000.00","2,550,447.00",质押,用于开具银行承兑汇票的应收票据
应收票据,"16,765.45","16,748.68",贴现,已贴现未终止确认的应收票据
应收账款,"10,095,750.00","9,590,962.50",贴现,已贴现未终止确认的应收债权凭证
合计,"294,938,657.06","294,431,299.79",,
