code,last_date,r30_pct,r90_pct,avg30_amount_yi_est
600089,2026-07-08,-21.893260615504484,-32.85331547220361,31.145027857
002028,2026-07-08,-18.903826266804547,-29.731182795698917,24.067880850999998
688676,2026-07-08,-19.49417152373023,-23.567948933310934,1613.554448563
601179,2026-07-08,-17.710529579560962,-15.671072699542455,25.21534542226667
600550,2026-07-08,-20.208799403430277,-38.50574712643679,4.871122779
002270,2026-07-08,-21.75408426483234,-46.32851666175169,4.238510103666667
600312,2026-07-08,-20.65014143932492,-27.179126149513788,4.012209768933333
000400,2026-07-08,-21.79333307522553,-35.56413282720342,5.0789981809
600406,2026-07-08,-9.988803582853478,-15.082239323977653,16.0919506456
601126,2026-07-08,-28.26780021253985,30.12048192771084,23.09623975266667
000682,2026-07-08,-15.826330532212884,-13.711414213926776,4.758714835666667
002350,2026-07-08,-2.8869699703570117,48.50216791486008,2.781193404866667
300001,2026-07-08,-12.657153466659587,15.942539257798739,14.970307947333334
300444,2026-07-08,-25.458248472505097,-29.389067524115752,5.122384576333333
603050,2026-07-08,-17.956391620350576,-10.544471377960097,2.092371845
603861,2026-07-08,-10.588235294117654,-24.544953116381684,4.501903507
002452,2026-07-08,1.6778523489932917,14.124293785310726,4.216532962
002922,2026-07-08,-34.965448263320596,-38.14321542852201,9.437416151133334
301291,2026-07-08,-31.573463007988888,-34.50797872340425,4.277018861
603191,2026-07-08,-30.932817786370236,-41.21760592348828,2.608786692666667
002112,2026-07-08,-18.00433839479394,-38.7358184764992,2.6031931473333336
603097,2026-07-08,-20.518867924528294,-37.34429033577511,0.5235472750333333
301012,2026-07-08,-38.916256157635466,-24.899057873485862,2.4659942293333335
301120,2026-07-08,-34.64912280701754,-34.02993004516072,4.358083461333334
000533,2026-07-08,-27.280405405405407,-25.647668393782386,3.1738150333333333
603530,2026-07-08,-12.748579545454541,-0.5061753391374824,1.881194536
300617,2026-07-08,-23.678681105543887,-18.162911611785105,5.233439527
002879,2026-07-08,-20.024645717806532,-41.18979656562911,0.6755631923333334
002498,2026-07-08,-32.276330690826725,-26.7156862745098,6.064169283
600973,2026-07-08,-12.256267409470755,-14.634146341463417,3.465290723333333
300062,2026-07-08,-26.111111111111107,-40.82313681868743,1.002406533
300477,2026-07-08,-15.384615384615385,-25.0,0.653121724
002339,2026-07-08,-26.70391061452514,-45.87458745874587,0.9980464353333333
002090,2026-07-08,-16.336861481822375,-27.48304746709215,0.9062136766666666
300222,2026-07-08,-28.605914302957146,-2.9532403609515923,8.644394331
300670,2026-07-08,-4.4207317073170715,-13.517241379310352,0.9609709393333333
688517,2026-07-08,-24.903665202975176,-6.41054277417914,72.60077952753333
603829,2026-07-08,-40.8235294117647,-42.338555598012995,0.8748010603333333
002358,2026-07-08,-19.786910197869112,-41.3140311804009,1.1532486576666665
002927,2026-07-08,-22.517482517482513,-16.858429214607295,3.9658459703333335
002706,2026-07-08,-27.69116555308092,-15.038381018841596,6.088716355333333
301359,2026-07-08,-31.852509995557533,-29.503676470588236,0.367719981
300491,2026-07-08,5.5714285714285605,4.971590909090895,4.721084795666667
300360,2026-07-08,-19.79020979020979,-34.903518728717366,0.685626607
688248,2026-07-08,1.4319809069212486,13.419748379717888,343.91724250566665
