market,date,code,name,close,monthly_avg_price,pe,pb,dividend_yield
TWSE,1150709,1303,南亞,181.50,184.57,78.57,3.75,0.44
TWSE,1150709,2313,華通,223.00,225.43,39.33,5.67,1.26
TWSE,1150709,2368,金像電,1075.00,1192.14,48.53,15.76,0.91
TWSE,1150709,2383,台光電,5295.00,5510.71,114.86,39.57,0.47
TWSE,1150709,3037,欣興,875.00,926.14,128.68,12.26,0.23
TWSE,1150709,4958,臻鼎-KY,588.00,584.86,82.93,5.00,0.58
TWSE,1150709,6213,聯茂,385.00,380.86,94.13,6.64,0.78
TWSE,1150709,8046,南電,1215.00,1132.86,257.42,16.81,0.16
TPEX,1150713,6274,台燿,1550.00,,111.99,24.78,0.48
