code,name,price,eps_2025,pe_dynamic_quote,pe_conservative,target_conservative,pe_base,target_base,pe_bull,target_bull,base_upside_pct,source,note
002683,广东宏大,28.34,1.2701,22.27,18,22.86,22,27.94,27,34.29,-1.4,EPS Eastmoney HSF10 2025; price Tencent 20260709,
002096,易普力,8.72,0.64,14.72,12,7.68,15,9.60,18,11.52,10.1,EPS Eastmoney HSF10 2025; price Tencent 20260709,
002226,江南化工,4.47,0.286,16.09,12,3.43,15,4.29,18,5.15,-4.0,EPS Eastmoney HSF10 2025; price Tencent 20260709,
002246,北化股份,18.00,0.48,32.31,18,8.64,24,11.52,30,14.40,-36.0,EPS Eastmoney HSF10 2025; price Tencent 20260709,
603977,国泰集团,12.80,0.41,31.93,18,7.38,24,9.84,30,12.30,-23.1,EPS Eastmoney HSF10 2025; price Tencent 20260709,
002917,金奥博,10.07,0.5102,19.75,16,8.16,20,10.20,24,12.24,1.3,EPS Eastmoney HSF10 2025; price Tencent 20260709,
603227,雪峰科技,7.03,0.47,15.52,12,5.64,15,7.05,18,8.46,0.3,EPS Eastmoney HSF10 2025; price Tencent 20260709,
003009,中天火箭,55.13,-0.6555,,,,,,,,,,2025 EPS<=0，不适合PE法
