报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2018,-1.26亿,False,-3.01亿,False,20.35亿,False,False,3.35,5.05,-2.70,0.31,-6.49%,39.06%,-5.37%,-5.45%,539.67,0.92,391.47,148.20,1.42,0.88,0.88,1.93,64.39%
2019,-7351.98万,41.53%,-2.55亿,15.18%,29.79亿,46.43%,False,3.25,5.06,-2.81,0.37,-1.61%,41.79%,-3.24%,-3.28%,413.88,1.16,309.12,104.76,1.15,0.70,0.70,2.40,68.93%
2020,9.03亿,1328.13%,8.78亿,444.12%,57.61亿,93.36%,1.3000,4.97,4.35,-0.45,4.57,16.26%,48.61%,32.20%,25.08%,254.71,1.75,206.23,48.48,1.28,0.84,0.83,1.68,62.63%
2021,14.17亿,56.96%,11.66亿,32.81%,72.54亿,25.91%,1.9600,6.96,4.42,1.29,1.30,19.35%,49.42%,32.83%,28.13%,236.89,1.85,194.64,42.26,1.56,0.93,0.91,1.06,51.42%
2022,16.56亿,16.86%,13.28亿,13.91%,92.38亿,27.36%,2.1900,21.21,16.82,2.93,0.83,17.86%,48.37%,17.48%,9.47%,273.41,1.68,213.78,59.64,3.35,2.71,2.70,0.39,27.81%
2023,19.74亿,19.21%,16.65亿,25.38%,114.11亿,23.52%,2.4000,22.89,16.88,5.13,0.16,17.33%,48.48%,10.79%,10.46%,307.84,1.60,225.17,82.67,3.49,2.74,2.73,0.34,25.48%
2024,12.62亿,-36.08%,10.10亿,-39.32%,103.00亿,-9.73%,1.5400,24.15,16.92,6.29,-0.75,12.06%,48.54%,6.53%,6.34%,452.55,1.13,319.97,132.58,2.95,2.07,2.06,0.41,29.00%
2025,18.69亿,48.14%,17.70亿,75.18%,138.00亿,33.98%,2.2800,26.17,16.93,8.35,3.25,13.36%,47.01%,9.00%,8.67%,406.86,1.30,277.09,129.77,2.46,1.76,1.75,0.52,34.23%
