bps,change_cny,code,code_full,deduct_netprofit_100m_cny,eps,float_mcap_100m_cny,gross_margin_pct,gross_profit_100m_cny,high_52w,liability_to_asset_pct,low_52w,name,net_margin_pct,notice_date,ocfps,parent_netprofit_100m_cny,parent_np_yoy_pct,pb,pct_change,pe_ttm,prev_close,price_cny,quote_time,report,revenue_100m_cny,revenue_yoy_pct,roe_pct,source,total_mcap_100m_cny,turnover_rate_pct
6.794779903497,-3.13,603650,603650.SH,5.3897,0.94,490.53,24.1964531139,8.2965,91.03,53.8039374158,74.48,彤程新材,16.8356338811,2026-04-18 00:00:00,0.548990550767,5.6255,8.858249851884,12.22,-3.78,83.89,82.75,79.62,20260713161440,2025年报,34.2881,4.847636668613,15.98,Tencent qt.gtimg.cn snapshot fetched 2026-07-13 evening CST,489.24,4.20
13.850677898939,-5.23,688037,688037.SH,-0.1809,0.36,762.15,35.3896664011,6.8956,459.88,54.4786957984,306.58,芯源微,3.6275284711,2026-04-18 00:00:00,0.510693222509,0.7171,-64.644523618016,27.21,-1.36,1080.24,383.23,378.00,20260713161453,2025年报,19.4849,11.113231809683,2.62,Tencent qt.gtimg.cn snapshot fetched 2026-07-13 evening CST,762.15,4.35
14.620904428725,-32.75,688361,688361.SH,-1.2255,0.18,1365.60,49.927197729,10.2515,507.29,35.4941949378,338.19,中科飞测,2.856504378,2026-04-25 00:00:00,-2.462198038168,0.5865,608.910425738947,26.92,-7.75,24165.64,422.74,389.99,20260713161446,2025年报,20.533,48.748896026853,1.99,Tencent qt.gtimg.cn snapshot fetched 2026-07-13 evening CST,1365.60,3.75
17.522083316065,-18.44,688630,688630.SH,2.7633,2.21,645.66,40.1621679777,5.6553,558.02,25.9343057679,372.02,芯碁微装,20.5900604209,2026-03-14 00:00:00,0.697316140668,2.8993,80.424127792541,27.75,-3.97,186.36,465.02,446.58,20260713161440,2025年报,14.0812,47.610660444868,13.28,Tencent qt.gtimg.cn snapshot fetched 2026-07-13 evening CST,588.33,3.37
14.544847999093,-6.37,688409,688409.SH,-0.5171,-0.03,776.64,22.2311823242,7.8775,312.00,48.5945948142,208.00,富创精密,-0.4641646737,2026-04-30 00:00:00,1.263149944912,-0.0861,-104.249445667713,17.19,-2.45,1086.36,260.00,253.63,20260713161500,2025年报,35.4344,16.576973432367,-0.19,Tencent qt.gtimg.cn snapshot fetched 2026-07-13 evening CST,776.64,3.22
9.133106103899,-2.32,603690,603690.SH,-8.1065,-2.02,118.72,22.764266825,6.4982,36.65,72.6767179188,29.99,至纯科技,-27.0202023213,2026-04-30 00:00:00,-1.122005273887,-7.7682,-472.338111870696,3.42,-6.96,-14.27,33.32,31.00,20260713161435,2025年报,28.5456,-20.809515664863,-20.84,Tencent qt.gtimg.cn snapshot fetched 2026-07-13 evening CST,118.72,14.98
12.389311909346,-4.05,688596,688596.SH,0.8007,0.48,188.19,20.9935830892,10.3214,81.64,68.1897940631,54.42,正帆科技,2.8200578036,2026-04-18 00:00:00,0.670627774152,1.363,-74.173225028777,5.23,-5.95,246.70,68.03,63.98,20260713161439,2025年报,49.1643,-10.109159612037,3.73,Tencent qt.gtimg.cn snapshot fetched 2026-07-13 evening CST,188.19,10.52
5.139161153492,-3.83,300260,300260.SZ,1.7567,0.44,324.29,24.8411344612,7.4467,100.02,62.8564705517,66.68,新莱应材,5.7983812947,2026-04-28 00:00:00,0.53742517017,1.7506,-22.655983438656,15.09,-4.60,183.29,83.35,79.52,20260713161442,2025年报,29.9771,5.219436849351,8.65,Tencent qt.gtimg.cn snapshot fetched 2026-07-13 evening CST,228.73,6.86
8.747917551232,-3.32,600641,600641.SH,-1.7371,-0.139,372.88,19.7228701654,3.6523,46.97,28.350655727,38.43,先导基电,-12.5750715962,2026-04-10 00:00:00,-4.438666949479,-1.266,-217.720982889036,4.50,-7.78,-303.12,42.70,39.38,20260713161433,2025年报,18.5182,218.496581884794,-1.55,Tencent qt.gtimg.cn snapshot fetched 2026-07-13 evening CST,366.48,8.90
6.261837121002,-5.97,688147,688147.SH,1.6008,0.48,617.74,32.6890383445,8.608,166.76,69.3455255433,111.18,微导纳米,8.3307614615,2026-04-29 00:00:00,0.847003118088,2.1937,-3.234981881483,21.18,-4.30,395.25,138.97,133.00,20260713161431,2025年报,26.333,-2.466654458287,7.92,Tencent qt.gtimg.cn snapshot fetched 2026-07-13 evening CST,617.74,2.46
