选项,指标,20260331,20251231,20250930,20250630,20250331,20241231,20240930,20240630,20240331,20231231,20230930,20230630,20230331,20221231,20220930,20220630,20220331,20211231,20210930,20210630,20210331,20201231,20191231,20181231
每股指标,摊薄每股收益_最新股数,0.483971,2.268134,1.359247,1.210954,0.449042,1.531101,0.814362,1.152948,0.44081,2.395526,1.291363,1.13786,0.399995,2.009425,1.090573,0.938936,0.371462,1.719554,0.935185,0.785562,0.364578,1.095561,-0.089205,-0.152574
每股指标,摊薄每股净资产_期末股数,26.64767,26.174431,25.248198,25.230405,24.61214,24.149696,23.326991,23.767079,23.326874,22.891671,21.832296,22.188823,21.619164,21.213499,20.267198,8.069143,7.384743,6.956105,,5.90116,,4.971523,3.25218,3.348482
每股指标,调整每股净资产_期末股数,23.411413,23.143727,22.389913,22.591134,22.188528,21.889337,21.288517,21.821061,21.478653,21.132906,20.268939,20.635006,20.048638,19.650262,18.677534,6.347398,5.746589,5.541405,,4.629509,,3.636549,1.770278,1.95349
每股指标,每股净资产_最新股数,26.64767,26.174431,25.248198,25.230405,24.61214,24.149696,23.326991,23.767079,23.326874,22.891671,21.832296,22.188823,21.619164,21.213499,20.267198,7.090066,6.488708,6.112079,,5.185137,,4.368298,2.720851,2.801419
每股指标,每股经营现金流,-1.163732,3.250613,0.130088,0.059163,-0.428891,-0.751099,-1.825886,-0.757855,-0.797238,0.160783,-1.021751,-0.620584,-0.380467,0.828498,-1.048854,-1.077734,-0.719291,1.301444,,-0.376769,,4.570494,0.373512,0.307165
每股指标,每股现金流量净额,1.894883,-0.676515,-1.804533,0.011392,-0.389608,-2.017546,-3.315687,-0.869277,-2.22674,-2.542175,-1.950487,-1.569689,-2.183022,8.193898,10.11311,-1.471852,-2.678056,-0.347493,,-2.770257,,2.27603,-0.582076,0.385625
每股指标,每股企业自由现金流量,,0.603529,,-0.085018,,0.366575,,0.404098,,1.138039,,0.179062,,-12.66818,,,0.015869,0.174558,,0.18051,,-0.313503,0.394389,-2.758081
每股指标,每股股东自由现金流量,,1.070835,,-0.668928,,1.028497,,0.399905,,1.143072,,0.169546,,-12.686346,,,0.010836,-0.592783,,-0.594171,,-2.179924,0.677768,-2.130926
每股指标,每股未分配利润,8.832755,8.348783,7.439896,7.420952,6.738639,6.289596,5.572857,6.030685,5.566982,5.126171,4.027116,3.867176,3.330311,2.930316,2.224352,2.35894,1.713103,1.290344,,0.443921,,-0.45012,-2.813254,-2.699711
每股指标,每股资本公积金,16.979139,16.934886,16.890027,16.876679,16.939482,16.923304,16.975683,16.93965,16.903914,16.878319,16.866586,16.846295,16.834792,16.823289,16.809019,4.448072,4.430534,4.417382,,4.389663,,4.35303,5.061935,5.045506
每股指标,每股盈余公积金,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.494891,0.494891,0.494891,0.494891,0.279402,0.317985,0.317985,0.317985,,0.101439,,0.101439,,
每股指标,每股留存收益,9.332755,8.848783,7.939896,7.920952,7.238639,6.789596,6.072857,6.530685,6.066982,5.626171,4.522008,4.362068,3.825202,3.425207,2.503755,2.676925,2.031088,1.608329,,0.545361,,-0.34868,-2.813254,-2.699711
每股指标,每股营业收入,3.527923,16.744667,10.749051,7.299451,3.006643,12.49773,8.438046,6.471436,2.851975,13.845361,9.018221,6.396037,2.685007,11.209164,7.108551,5.7612,2.290406,10.016813,,4.260429,,7.955492,4.321111,2.950907
