SECURITY_CODE,SECUCODE,SECURITY_NAME_ABBR,ORG_CODE,TRADE_MARKET,BOARD_CODE,BOARD_NAME,ORIG_BOARD_CODE,TOTAL_MARKET_CAP,NOTLIMITED_MARKETCAP_A,CLOSE_PRICE,CHANGE_RATE,TOTAL_SHARES,FREE_SHARES_A,PE_TTM,PE_LAR,PB_MRQ,PCF_OCF_LAR,PCF_OCF_TTM,PS_TTM,PEG_CAR,TRADE_DATE
600276,600276.SH,恒瑞医药,10002474,069001001001,016024,化学制药,465,376793836846.98,362135959094.98,56.77,4.260789715335,6637199874,6379002274,46.40736811,48.86411082,5.92198584,33.53637345,32.85997556,11.57073919,2.07196416004,2026-07-06 00:00:00
600276,600276.SH,恒瑞医药,10002474,069001001001,016024,化学制药,465,361395533139.3,347336673819.3,54.45,1.79472798654,6637199874,6379002274,44.51085421,46.86719806,5.67997409,32.16585405,31.51709828,11.09788179,1.987289915629,2026-07-03 00:00:00
600276,600276.SH,恒瑞医药,10002474,069001001001,016024,化学制药,465,355023821260.26,341212831636.26,53.49,-0.539233915954,6637199874,6379002274,43.72608984,46.04088934,5.5798313,31.59874257,30.96142492,10.90221666,1.95225229736,2026-07-02 00:00:00
600276,600276.SH,恒瑞医药,10002474,069001001001,016024,化学制药,465,356948609223.72,343062742295.72,53.78,3.343581860108,6637199874,6379002274,43.96315408,46.29050343,5.61008277,31.7700575,31.12928458,10.96132383,1.962836578023,2026-07-01 00:00:00
600276,600276.SH,恒瑞医药,10002474,069001001001,016024,化学制药,465,345399881442.96,331963278338.96,52.04,-1.681466087285,6637199874,6379002274,42.54076866,44.79281886,5.42857395,30.74216795,30.12212662,10.60668078,1.899330894938,2026-06-30 00:00:00
600276,600276.SH,恒瑞医药,10002474,069001001001,016024,化学制药,465,351306989330.82,337640590362.82,52.93,8.752825148962,6637199874,6379002274,43.26831063,45.55887591,5.52141467,31.26792755,30.63728213,10.78807866,1.931813686963,2026-06-29 00:00:00
600276,600276.SH,恒瑞医药,10002474,069001001001,016024,化学制药,465,323032517867.58,310466040675.58,48.67,-2.737809752198,6637199874,6379002274,39.78591873,41.89213094,5.07703102,28.75137037,28.1714816,9.91981463,1.776334255531,2026-06-26 00:00:00
600276,600276.SH,恒瑞医药,10002474,069001001001,016024,化学制药,465,332125481694.96,319205273790.96,50.04,-0.417910447761,6637199874,6379002274,40.90584288,43.07134235,5.21994313,29.5606857,28.96447379,10.19904508,1.826335856467,2026-06-25 00:00:00
600276,600276.SH,恒瑞医药,10002474,069001001001,016024,化学制药,465,333519293668.5,320544864268.5,50.25,2.592895059208,6637199874,6379002274,41.07751009,43.25209738,5.24184937,29.68474134,29.08602733,10.24184683,1.834000335645,2026-06-24 00:00:00
600276,600276.SH,恒瑞医药,10002474,069001001001,016024,化学制药,465,325090049828.52,312443531380.52,48.98,-0.769854132901,6637199874,6379002274,40.03933222,42.1589598,5.1093688,28.93450012,28.35091779,9.98299816,1.78764848623,2026-06-23 00:00:00
