code,market,ticker,name,bottleneck_theme,price,pct_chg,pe_ttm_or_dynamic,turnover_rate,high,low,circulating_mcap_yi,total_mcap_yi,pb,timestamp,report_date,notice_date,revenue,revenue_yoy_pct,parent_np,np_yoy_pct,gross_profit,eps,roe_pct,revenue_yi,parent_np_yi,ps_static
000988,SZ,000988.SZ,华工科技,激光/光模块,147.5,-3.97,87.28,4.38,154.87,145.5,1482.35,1483.12,12.97,20260708161436,2025年报,2026-03-26 00:00:00,14354760508.18,22.594119020867,1470794704.16,20.482885907452,3046094137.37,1.47,13.97,143.54760508180001,14.7079470416,10.331903476584301
688498,SH,688498.SH,源杰科技,激光芯片,1617.0,-5.72,565.42,3.52,1736.0,1616.01,1987.17,2013.17,81.68,20260708161435,2025年报,2026-03-25 00:00:00,601434509.56,138.501064331879,190924031.75,3212.61645356981,349478428.61,2.24,8.68,6.0143450955999995,1.9092403175,334.72804902279444
688048,SH,688048.SH,长光华芯,半导体激光芯片,413.99,0.73,2162.77,6.67,440.5,403.0,729.78,729.78,24.22,20260708161439,2025年报,2026-04-18 00:00:00,477377559.44,75.094722907479,21764076.48,121.821704312559,164878812.92,0.1242,0.73,4.7737755944,0.2176407648,152.87270747625573
002463,SZ,002463.SZ,沪电股份,AI服务器/交换机PCB,128.2,-1.17,57.35,2.37,132.5,125.13,2465.04,2467.03,15.59,20260708161448,2025年报,2026-03-25 00:00:00,18945220585,42.0017369822,3822306272,47.737015416548,6720923361,1.9875,28.57,189.45220585,38.22306272,13.021912249220719
002916,SZ,002916.SZ,深南电路,PCB/封装基板,402.33,-2.37,75.4,1.4,422.98,397.0,2674.73,2740.54,16.65,20260708161433,2025年报,2026-03-13 00:00:00,23646977088.98,32.05109247654,3275738151.27,74.467318684826,6695959142.76,4.91,20.79,236.4697708898,32.7573815127,11.589388316687424
600183,SH,600183.SH,生益科技,覆铜板/高速材料,145.46,-3.52,89.94,1.88,154.95,145.2,3483.04,3533.4,22.11,20260708161436,2025年报,2026-04-25 00:00:00,28431138459.44,39.448096835958,3333954377.92,91.753196637251,7526490446.96,1.39,21.25,284.3113845944,33.3395437792,12.427923014904119
603228,SH,603228.SH,景旺电子,PCB,62.5,-2.86,54.13,2.0,65.5,61.54,610.79,616.45,4.82,20260708161459,2025年报,2026-03-28 00:00:00,15308052020.33,20.922669961083,1230969813.3,5.298729280599,3304889184.58,1.3,10.35,153.0805202033,12.309698133,4.026965672584062
300604,SZ,300604.SZ,长川科技,半导体测试设备,317.22,4.24,127.95,6.36,332.18,287.59,1552.7,2012.5,40.01,20260708161454,2025年报,2026-04-25 00:00:00,5291542093.17,45.3111174427,1331383095.29,190.420215487814,2913239003.1,2.12,33.05,52.9154209317,13.3138309529,38.03239140056379
688012,SH,688012.SH,中微公司,刻蚀/MOCVD,423.0,0.7,148.47,2.88,439.31,402.0,3985.49,4051.67,14.69,20260708161449,2025年报,2026-03-31 00:00:00,12384638268.11,36.617900883745,2111472990.43,30.686679836527,4850499252.55,3.4,9.97,123.84638268110001,21.1147299043,32.71528737688613
688072,SH,688072.SH,拓荆科技,薄膜沉积设备,832.0,0.0,147.08,0.0,0.0,0.0,2352.01,2418.45,20.61,20260708161454,2025年报,2026-04-28 00:00:00,6519094874.63,58.868482685935,926703966.52,34.66505935321,2278570928.74,3.32,15.77,65.1909487463,9.2670396652,37.097941455212556
688120,SH,688120.SH,华海清科,CMP设备,295.0,6.88,132.97,3.79,298.0,262.5,1459.46,1459.46,19.25,20260708161448,2025年报,2026-04-23 00:00:00,4648227726.05,36.46258832312,1083724706.34,5.893724535711,1943595389.84,3.08,15.52,46.482277260500005,10.8372470634,31.398203487767347
688019,SH,688019.SH,安集科技,CMP抛光液/材料,316.09,5.36,87.43,5.28,323.8,284.24,719.08,719.08,15.98,20260708161458,2025年报,2026-04-16 00:00:00,2504217940.48,36.468513722689,783648337.86,46.848622683531,1420484536.56,4.66,25.18,25.0421794048,7.8364833786000005,28.714753152122586
002409,SZ,002409.SZ,雅克科技,电子材料/前驱体,190.0,2.25,89.82,10.65,196.52,175.11,605.19,904.26,11.37,20260708161415,2025年报,2026-04-28 00:00:00,8611469139.8,25.489252431199,1000316537.26,14.770104637052,2665894182.57,2.1018,12.59,86.11469139799999,10.0031653726,10.500647280041248
300054,SZ,300054.SZ,鼎龙股份,CMP垫/半导体材料,89.36,-2.08,102.61,6.96,92.38,83.0,664.1,851.83,15.87,20260708161421,2025年报,2026-03-27 00:00:00,3659907017.15,9.655438660452,720204539.6,38.31562198525,1861078632.95,0.77,12.83,36.5990701715,7.202045396,23.274635011447014
000519,SZ,000519.SZ,中兵红箭,超硬材料/军品,18.4,-9.98,113.74,7.66,20.42,18.4,256.23,256.23,2.47,20260708161436,2025年报,2026-04-24 00:00:00,9273941700.67,102.967369628806,41696043.16,112.738385821026,1330429817.85,0.0299,0.41,92.7394170067,0.41696043159999996,2.762902854796775
