code,market,ticker,name,bottleneck_theme,price,pct_chg,pe_ttm_or_dynamic,turnover_rate,high,low,circulating_mcap_yi,total_mcap_yi,pb,timestamp,report_date,notice_date,revenue,revenue_yoy_pct,parent_np,np_yoy_pct,gross_profit,eps,roe_pct,revenue_yi,parent_np_yi,ps_static
000988,SZ,000988.SZ,华工科技,激光/光模块,159.0,7.8,94.08,5.99,159.68,147.0,1597.93,1598.75,13.98,20260709161500,2025年报,2026-03-26 00:00:00,14354760508.18,22.594119020867,1470794704.16,20.482885907452,3046094137.37,1.47,13.97,143.54760508180001,14.7079470416,11.13742022438451
688498,SH,688498.SH,源杰科技,激光芯片,1746.01,7.98,610.54,4.09,1750.0,1615.0,2145.71,2173.79,88.19,20260709161441,2025年报,2026-03-25 00:00:00,601434509.56,138.501064331879,190924031.75,3212.61645356981,349478428.61,2.24,8.68,6.0143450955999995,1.9092403175,361.43419864455575
688048,SH,688048.SH,长光华芯,半导体激光芯片,472.44,14.12,2468.12,8.88,478.83,416.02,832.82,832.82,27.63,20260709161445,2025年报,2026-04-18 00:00:00,477377559.44,75.094722907479,21764076.48,121.821704312559,164878812.92,0.1242,0.73,4.7737755944,0.2176407648,174.45729978949177
002463,SZ,002463.SZ,沪电股份,AI服务器/交换机PCB,137.3,7.1,61.42,3.91,137.83,128.61,2640.02,2642.15,16.69,20260709161500,2025年报,2026-03-25 00:00:00,18945220585,42.0017369822,3822306272,47.737015416548,6720923361,1.9875,28.57,189.45220585,38.22306272,13.946261476057655
002916,SZ,002916.SZ,深南电路,PCB/封装基板,442.56,10.0,82.94,2.33,442.56,407.19,2942.18,3014.57,18.32,20260709161451,2025年报,2026-03-13 00:00:00,23646977088.98,32.05109247654,3275738151.27,74.467318684826,6695959142.76,4.91,20.79,236.4697708898,32.7573815127,12.74822565546805
600183,SH,600183.SH,生益科技,覆铜板/高速材料,157.4,8.21,97.33,2.71,158.03,144.8,3768.95,3823.43,23.92,20260709161449,2025年报,2026-04-25 00:00:00,28431138459.44,39.448096835958,3333954377.92,91.753196637251,7526490446.96,1.39,21.25,284.3113845944,33.3395437792,13.448036931248897
603228,SH,603228.SH,景旺电子,PCB,68.25,9.2,59.11,4.01,68.68,63.6,669.85,673.17,5.27,20260709161456,2025年报,2026-03-28 00:00:00,15308052020.33,20.922669961083,1230969813.3,5.298729280599,3304889184.58,1.3,10.35,153.0805202033,12.309698133,4.397489629026543
300604,SZ,300604.SZ,长川科技,半导体测试设备,374.0,17.9,150.85,8.13,375.18,310.49,1830.62,2372.73,47.17,20260709161403,2025年报,2026-04-25 00:00:00,5291542093.17,45.3111174427,1331383095.29,190.420215487814,2913239003.1,2.12,33.05,52.9154209317,13.3138309529,44.84004772564458
688012,SH,688012.SH,中微公司,刻蚀/MOCVD,471.59,11.49,165.53,3.6,474.5,430.0,4443.31,4517.09,16.38,20260709161455,2025年报,2026-03-31 00:00:00,12384638268.11,36.617900883745,2111472990.43,30.686679836527,4850499252.55,3.4,9.97,123.84638268110001,21.1147299043,36.473330122457796
688072,SH,688072.SH,拓荆科技,薄膜沉积设备,832.0,0.0,147.08,0.0,0.0,0.0,2352.01,2418.45,20.61,20260709161435,2025年报,2026-04-28 00:00:00,6519094874.63,58.868482685935,926703966.52,34.66505935321,2278570928.74,3.32,15.77,65.1909487463,9.2670396652,37.097941455212556
688120,SH,688120.SH,华海清科,CMP设备,344.0,16.61,155.05,3.87,348.0,292.51,1701.88,1701.88,22.45,20260709161437,2025年报,2026-04-23 00:00:00,4648227726.05,36.46258832312,1083724706.34,5.893724535711,1943595389.84,3.08,15.52,46.482277260500005,10.8372470634,36.61352455823489
688019,SH,688019.SH,安集科技,CMP抛光液/材料,343.9,8.8,95.12,5.94,346.5,309.0,782.35,782.35,17.38,20260709161447,2025年报,2026-04-16 00:00:00,2504217940.48,36.468513722689,783648337.86,46.848622683531,1420484536.56,4.66,25.18,25.0421794048,7.8364833786000005,31.2412904385647
002409,SZ,002409.SZ,雅克科技,电子材料/前驱体,209.0,10.0,98.8,10.53,209.0,194.97,665.71,994.69,12.51,20260709161439,2025年报,2026-04-28 00:00:00,8611469139.8,25.489252431199,1000316537.26,14.770104637052,2665894182.57,2.1018,12.59,86.11469139799999,10.0031653726,11.550758457727014
300054,SZ,300054.SZ,鼎龙股份,CMP垫/半导体材料,95.99,7.42,110.22,7.62,96.18,90.01,713.37,915.03,17.05,20260709161418,2025年报,2026-03-27 00:00:00,3659907017.15,9.655438660452,720204539.6,38.31562198525,1861078632.95,0.77,12.83,36.5990701715,7.202045396,25.00145483784835
000519,SZ,000519.SZ,中兵红箭,超硬材料/军品,17.91,-2.66,110.71,7.54,18.4,17.07,249.41,249.41,2.4,20260709161454,2025年报,2026-04-24 00:00:00,9273941700.67,102.967369628806,41696043.16,112.738385821026,1330429817.85,0.0299,0.41,92.7394170067,0.41696043159999996,2.6893634664749
600378,SH,600378.SH,昊华科技,含氟材料/特气,66.2,5.9,54.47,6.87,66.66,61.63,710.04,853.98,4.72,20260709161447,2025年报,2026-04-24 00:00:00,16688996654.92,19.494682541953,1444467040.45,37.072699286452,4214019857.65,1.1198,8.19,166.8899665492,14.4446704045,5.117024214563806
300395,SZ,300395.SZ,菲利华,石英材料/半导体,107.25,4.6,117.02,4.47,107.49,100.0,549.7,563.84,11.11,20260709161424,2025年报,2026-04-24 00:00:00,2016348883.02,15.761606533738,443181969.44,41.044691022617,955276600.52,0.8513,10.15,20.1634888302,4.4318196944,27.96341470209783
002080,SZ,002080.SZ,中材科技,复材/高压气瓶/叶片,74.75,2.76,63.9,3.21,76.17,70.01,1254.4,1254.4,6.36,20260709161409,2025年报,2026-03-20 00:00:00,30195487692.29,25.899251757243,1817776776.61,103.816974942648,5716510923.99,1.0832,9.49,301.9548769229,18.1777677661,4.154263089846679
002246,SZ,002246.SZ,北化股份,硝化棉/含能材料,18.0,2.92,32.31,,,,,98.83,3.18,20260709161433,2025年报,,2750445726.33,41.262331530564,263023373.32,1029.21799917175,,,,27.5044572633,2.6302337332,3.593235781891677
002226,SZ,002226.SZ,江南化工,民爆/工业炸药,4.47,-1.76,16.09,,,,,118.41,1.25,20260709161418,2025年报,,9981605095.51,0.195885599349,757548587.74,-18.022005198029,,,,99.8160509551,7.5754858774,1.1862821546933777
002683,SZ,002683.SZ,广东宏大,矿服民爆/防务装备,28.34,-0.91,22.27,,,,,215.35,3.22,20260709161415,2025年报,,20369059705.04,49.203485757187,957184117.73,6.618375422117,,,,203.69059705040002,9.5718411773,1.0572407519956115
603977,SH,603977.SH,国泰集团,民爆/电子雷管,12.8,-1.69,31.93,,,,,79.52,2.35,20260709161451,2025年报,,2360639807.24,0.26107355401,252224399.49,39.546590839764,,,,23.606398072399998,2.5222439949,3.368578287806337
002783,SZ,002783.SZ,凯龙股份,民爆/硝酸铵,7.0,-1.82,30.11,,,,,34.95,1.34,20260709161421,2025年报,,3544062429.99,-3.853290548134,142417411.44,-3.873902302551,,,,35.440624299899994,1.4241741144,0.9861564430765014
002827,SZ,002827.SZ,高争民爆,民爆,22.55,-1.53,32.91,,,,,62.47,6.0,20260709161427,2025年报,,1827479738.68,7.987004450775,198010769.83,33.639279550099,,,,18.2747973868,1.9801076983,3.4183689524854852
603227,SH,603227.SH,雪峰科技,民爆/硝酸铵,7.03,-0.85,15.52,,,,,75.34,1.49,20260709161437,2025年报,,5563814680.23,-8.807860706975,503671351.53,-24.648849507598,,,,55.63814680229999,5.0367135153,1.3541069271718729
600549,SH,600549.SH,厦门钨业,钨/稀土/材料,64.71,1.92,33.87,,,,,1027.33,5.82,20260709161437,2025年报,,46264582688.14,30.791260252247,2309374213.97,34.888714212238,,,,462.6458268814,23.093742139699998,2.2205539103746363
000657,SZ,000657.SZ,中钨高新,钨硬质合金,75.99,2.76,88.84,,,,,1731.51,17.04,20260709161430,2025年报,,17638510948.37,19.344480774895,1280667298.04,29.197482334581,,,,176.38510948369998,12.8066729804,9.816644982495031
002155,SZ,002155.SZ,湖南黄金,锑/黄金,24.26,5.89,21.65,,,,,379.1,4.6,20260709161409,2025年报,,50181265325.14,80.258281935176,1487994929.97,75.772983885744,,,,501.8126532514,14.8799492997,0.7554612215210067
601020,SH,601020.SH,华钰矿业,锑/有色,20.92,-0.48,20.05,,,,,171.54,3.99,20260709161437,2025年报,,2070622505.07,28.305371563476,870733068.99,243.725475793288,,,,20.7062250507,8.707330689900001,8.284465158664972
600111,SH,600111.SH,北方稀土,稀土,42.98,-6.61,56.74,,,,,1553.76,6.19,20260709161446,2025年报,,42563083233.34,29.110831359205,2251272073.68,124.168456389819,,,,425.63083233339995,22.5127207368,3.6504874223560186
000831,SZ,000831.SZ,中国稀土,稀土,48.29,-0.76,214.86,,,,,512.46,10.42,20260709161415,2025年报,,3182090218.84,5.111470531018,172576348.02,160.150591780447,,,,31.8209021884,1.7257634802000001,16.10450882146303
300748,SZ,300748.SZ,金力永磁,稀土永磁,28.58,-3.77,53.28,,,,,393.14,5.33,20260709161421,2025年报,,7717521714.96,14.109001621754,705606447.34,142.440587871333,,,,77.1752171496,7.0560644734,5.094122368815876
