selection_rank,global_rank,code,name,exchange,industry,original_scope,result,secondary_scope,decision,decision_reason,price,pe_ttm,pb,market_cap_yi,change_pct,turnover_pct,roe_avg_10,gross_margin_avg_5,ocf_ni_avg_5,net_margin_avg_10,fcf_5_total_yi,fcf_to_market_cap_5y,share_inflation_5,debt_ratio,debt_limit,debt_gate,quality_score,quality_score_basis,valuation_score,composite_score,price_cross_check,quote_timestamp,moat_rating,moat_basis,moat_status
,43,000596,古井贡酒,SZ,白酒Ⅱ,保留,通过,普通行业,淘汰,行业分散上限：同一细分行业最多入选3家,91.44,7.52,1.99,483.35184,-2.19,1.28,20.435,78.098709,1.132129,18.897248,109.033523984,0.22557796,0.0,31.6596151254,60,通过,51,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,28,79,一致,20260804150000,待评,未完成护城河初评,待核验
,405,000603,盛达资源,SZ,贵金属,周期,通过,周期行业（本次保留）,淘汰,综合得分未进入前50,26.5,23.44,4.87,182.84187669,3.03,7.8,14.642,51.875662,1.78972,19.671212,12.1323235396,0.06635418,0.0,44.4680209868,60,通过,46,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,19,65,一致,20260804150000,待评,未完成护城河初评,待核验
,60,000650,仁和药业,SZ,中药Ⅱ,保留,通过,普通行业,淘汰,综合得分未进入前50,5.48,13.66,1.23,76.71661522,-0.18,0.95,11.966,37.323483,1.516439,11.5974,26.8800959091,0.35038167,0.0,10.3846154764,60,通过,51,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,27,78,一致,20260804150000,待评,未完成护城河初评,待核验
,,000651,格力电器,SZ,白色家电,保留,通过,普通行业,淘汰,2025年报资产负债率超过普通行业门槛（公用事业放宽至70%）,40.52,9.33,1.49,2269.68960625,-1.07,1.25,26.362,27.795968,1.141468,14.048562,1405.0754703041,0.61906063,0.0,61.7266230738,60,不通过,53,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,30,83,一致,20260804150000,4/5,家电品牌、制造规模、渠道和服务网络,初评达到★★★
,119,000661,长春高新,SZ,生物制品,保留,通过,普通行业,淘汰,综合得分未进入前50,77.17,28.54,1.42,314.80539113,-1.87,2.85,20.168,85.882616,1.814567,23.052615,43.6535910569,0.1386685,0.0,17.3235094811,60,通过,54,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,20,74,一致,20260804150000,待评,未完成护城河初评,待核验
,,000672,上峰材料,SZ,水泥,周期,通过,周期行业（本次保留）,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,13.29,100.95,1.49,128.83265531,3.42,2.25,25.16,32.00009,1.422354,18.914626,34.4479050977,0.26738489,0.0,41.2633591584,60,通过,54,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,12,66,一致,20260804150000,待评,未完成护城河初评,待核验
,328,000682,东方电子,SZ,电网设备,保留,通过,普通行业,淘汰,综合得分未进入前50,12.56,17.85,2.77,168.39531208,1.78,1.92,9.38,32.91999,1.250974,6.932261,28.5585831542,0.16959251,0.0,54.2740853545,60,通过,43,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,25,68,一致,20260804150000,待评,未完成护城河初评,待核验
,132,000683,博源化工,SZ,化学原料,周期,通过,周期行业（本次保留）,淘汰,综合得分未进入前50,5.94,13.24,1.79,220.77979466,-2.78,2.69,12.627,38.926605,1.871653,12.361884,34.5219412035,0.15636368,0.0,55.9791018188,60,通过,49,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,25,74,一致,20260804150000,待评,未完成护城河初评,待核验
,234,000719,中原传媒,SZ,出版,保留,通过,普通行业,淘汰,综合得分未进入前50,12.72,29.27,1.11,130.15151687,-1.62,0.76,10.668,38.423975,1.519459,10.416524,62.523807802200004,0.48039246,0.0,35.4189620148,60,通过,51,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,20,71,一致,20260804150000,待评,未完成护城河初评,待核验
,,000733,振华科技,SZ,军工电子Ⅱ,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,41.46,361.09,1.48,229.75864609,1.02,2.32,12.057,55.705793,0.941868,16.445685,41.808350497,0.18196639,0.0,18.3416485833,60,通过,44,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,12,56,一致,20260804150000,待评,未完成护城河初评,待核验
,588,000739,普洛药业,SZ,化学制药,保留,通过,普通行业,淘汰,综合得分未进入前50,22.12,25.73,4.07,256.24771901,10.0,1.48,15.422,25.300025,1.100069,8.092663,27.097150394699998,0.10574592,0.0,48.4801631091,60,通过,43,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,15,58,一致,20260804150000,待评,未完成护城河初评,待核验
19,19,000786,北新建材,SZ,装修建材,保留,通过,普通行业,入选50家,综合得分靠前，且满足 PE/PB 可比、普通行业负债率门槛与行业分散上限,18.83,9.97,1.2,320.53104671,-3.24,1.48,15.272,29.901635,1.291542,14.886508,149.5082016893,0.46643906,0.0,21.598410049,60,通过,51,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,30,81,一致,20260804150000,待评,未完成护城河初评,待核验
,377,000792,盐湖股份,SZ,农化制品,保留,豁免B通过,普通行业,淘汰,综合得分未进入前50,27.61,12.07,3.27,1461.00317857,0.77,0.79,10.933333,60.892146,1.318697,-9.079138,470.2496982742,0.32186768,0.0,17.4893509926,60,通过,44,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,66,一致,20260804150000,待评,未完成护城河初评,待核验
,772,000811,冰轮环境,SZ,通用设备,保留,通过,普通行业,淘汰,综合得分未进入前50,35.88,75.95,5.54,356.10110102,9.99,3.77,10.56,24.895036,1.22981,8.316496,20.5100494086,0.05759614,0.0,47.9901683902,60,通过,40,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,4,44,一致,20260804150000,待评,未完成护城河初评,待核验
,91,000830,鲁西化工,SZ,化学原料,周期,通过,周期行业（本次保留）,淘汰,综合得分未进入前50,12.8,13.91,1.28,243.75283341,-2.29,1.76,15.351,17.935961,3.006551,8.133789,103.5801252422,0.42493916,0.0,46.5359767027,60,通过,49,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,27,76,一致,20260804150000,待评,未完成护城河初评,待核验
18,18,000848,承德露露,SZ,饮料乳品,保留,通过,普通行业,入选50家,综合得分靠前，且满足 PE/PB 可比、普通行业负债率门槛与行业分散上限,9.04,9.28,2.88,92.20800669,-2.8,2.14,22.368,43.756567,1.154963,20.730144,29.423282821300003,0.31909683,0.0,34.2775966649,60,通过,53,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,28,81,一致,20260804150000,3/5,植物蛋白饮料品牌和渠道,初评达到★★★
2,2,000858,五 粮 液,SZ,白酒Ⅱ,保留,通过,普通行业,入选50家,综合得分靠前，且满足 PE/PB 可比、普通行业负债率门槛与行业分散上限,76.88,9.25,2.53,2984.18023424,-1.51,0.91,21.328,76.233413,1.565099,32.814251,1456.8395430136,0.48818752,0.0,35.6890530354,60,通过,58,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,28,86,一致,20260804150000,5/5,高端白酒品牌、渠道和消费心智,初评达到★★★
,488,000887,中鼎股份,SZ,汽车零部件,周期,通过,周期行业（本次保留）,淘汰,综合得分未进入前50,18.33,18.74,1.67,241.31257063,6.02,3.34,10.08,22.150157,1.177057,7.388796,23.1491030475,0.09592995,0.0,47.3690259761,60,通过,40,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,62,一致,20260804150000,待评,未完成护城河初评,待核验
,236,000895,双汇发展,SZ,食品加工,保留,通过,普通行业,淘汰,综合得分未进入前50,25.52,17.11,4.45,884.18154156,-2.56,0.42,29.206,16.907703,1.276737,8.614681,205.7364432382,0.23268575,0.0,45.3233752789,60,通过,49,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,71,一致,20260804150000,待评,未完成护城河初评,待核验
