selection_rank,global_rank,code,name,exchange,industry,original_scope,result,secondary_scope,decision,decision_reason,price,pe_ttm,pb,market_cap_yi,change_pct,turnover_pct,roe_avg_10,gross_margin_avg_5,ocf_ni_avg_5,net_margin_avg_10,fcf_5_total_yi,fcf_to_market_cap_5y,share_inflation_5,debt_ratio,debt_limit,debt_gate,quality_score,quality_score_basis,valuation_score,composite_score,price_cross_check,quote_timestamp,moat_rating,moat_basis,moat_status
,,002908,德生科技,SZ,IT服务Ⅱ,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,6.89,-77.04,2.76,29.72567086,1.17,2.28,9.23,43.185542,3.364077,11.243428,2.6686014901,0.08977431,0.0,22.9187899473,60,通过,45,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,10,55,一致,20260804150000,待评,未完成护城河初评,待核验
,574,002917,金奥博,SZ,化学制品,周期,通过,周期行业（本次保留）,淘汰,综合得分未进入前50,10.42,23.6,2.13,36.22139933,-0.57,1.16,11.666,31.050846,0.796558,9.91982,3.3744605569,0.09316207,0.0,37.0604228429,60,通过,37,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,59,一致,20260804150000,待评,未完成护城河初评,待核验
,,002919,名臣健康,SZ,游戏Ⅱ,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,17.27,125.28,5.72,45.9616986,2.01,1.89,9.779,53.954534,2.220514,7.06006,1.6152527903,0.03514345,0.0,37.2051807857,60,通过,42,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,4,46,一致,20260804150000,待评,未完成护城河初评,待核验
,686,002920,德赛西威,SZ,汽车零部件,周期,通过,周期行业（本次保留）,淘汰,综合得分未进入前50,92.87,30.03,3.66,554.25679134,-0.58,1.02,23.035,21.311424,0.836924,7.993295,6.0613722972,0.01093604,0.0,47.855545336,60,通过,38,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,15,53,一致,20260804150000,待评,未完成护城河初评,待核验
,527,002925,盈趣科技,SZ,消费电子,保留,通过,普通行业,淘汰,综合得分未进入前50,22.75,47.06,3.52,175.55470956,3.46,1.86,28.773,29.095754,1.356897,19.505524,12.3385244613,0.07028307,0.0,38.1698121507,60,通过,49,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,11,60,一致,20260804150000,待评,未完成护城河初评,待核验
,,002932,*ST明德,SZ,医疗器械,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,14.79,-2278.06,0.62,34.38984954,-0.6,0.7,31.742,57.239048,2.020799,30.362141,45.7467394529,1.33023959,0.0,5.4271423062,60,通过,60,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,12,72,一致,20260804150000,待评,未完成护城河初评,待核验
,654,002937,兴瑞科技,SZ,汽车零部件,周期,通过,周期行业（本次保留）,淘汰,综合得分未进入前50,27.54,60.14,4.6,87.02907937,6.41,3.53,17.114,25.295494,1.6215,11.038295,3.9172267831,0.04501055,0.0,38.1735554981,60,通过,47,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,7,54,一致,20260804150000,待评,未完成护城河初评,待核验
,,002938,鹏鼎控股,SZ,元件,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,89.0,111.43,6.38,2062.60762562,10.0,1.25,14.431,21.59706,1.962213,9.862152,132.9776416253,0.06447064,0.0,28.8625507568,60,通过,42,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,4,46,一致,20260804150000,待评,未完成护城河初评,待核验
,693,002940,昂利康,SZ,化学制药,保留,通过,普通行业,淘汰,综合得分未进入前50,25.24,72.1,3.15,50.91619415,2.39,5.36,14.994,49.22707,2.040942,9.254842,7.3154925638999995,0.14367713,0.0,36.7219261357,60,通过,45,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,7,52,一致,20260804150000,待评,未完成护城河初评,待核验
,217,002948,青岛银行,SZ,银行Ⅱ,金融,金融特殊口径通过,金融行业（特殊口径）,淘汰,综合得分未进入前50,5.7,5.44,0.8,331.76021927,-3.39,1.28,10.246,,2.08405,29.101714,409.43873,1.23414052,0.0,93.8335070654,,金融特殊口径,41.33,金融特殊口径：ROE 40分、股本稳定性20分,30,71.33,一致,20260804150000,待评,未完成护城河初评,待核验
,,002949,华阳国际,SZ,工程咨询服务Ⅱ,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,10.39,114.02,1.43,20.37353136,0.58,1.86,14.447,29.010194,1.906433,10.964433,6.0202427404,0.29549334,0.0,46.1926425032,60,通过,48,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,12,60,一致,20260804150000,待评,未完成护城河初评,待核验
,55,002950,奥美医疗,SZ,医疗器械,保留,通过,普通行业,淘汰,综合得分未进入前50,9.37,13.62,1.64,59.33696864,0.43,1.35,17.52,29.810597,2.468674,13.112509,19.843161579300002,0.33441482,0.0,35.5324532971,60,通过,53,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,25,78,一致,20260804150000,待评,未完成护城河初评,待核验
,,002955,鸿合科技,SZ,光学光电子,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,31.86,-51.64,2.35,75.39347596,2.31,2.18,15.888,26.536934,1.833798,5.186418,13.7336730853,0.18215997,0.0,25.3797948444,60,通过,49,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,10,59,一致,20260804150000,待评,未完成护城河初评,待核验
,467,002956,西麦食品,SZ,休闲食品,保留,通过,普通行业,淘汰,综合得分未进入前50,17.61,13.58,3.45,55.03928703,0.06,1.98,15.155,43.527229,1.182899,11.346443,1.3776570155,0.02503043,0.0,28.4134905295,60,通过,41,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,63,一致,20260804150000,待评,未完成护城河初评,待核验
,757,002957,科瑞技术,SZ,自动化设备,保留,通过,普通行业,淘汰,综合得分未进入前50,34.97,52.89,4.58,146.86786836,10.0,5.18,11.763,34.367362,1.441288,10.454882,2.1765067127,0.01481949,0.0,44.9063024723,60,通过,40,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,7,47,一致,20260804150000,待评,未完成护城河初评,待核验
,219,002958,青农商行,SZ,银行Ⅱ,金融,金融特殊口径通过,金融行业（特殊口径）,淘汰,综合得分未进入前50,3.13,3.48,0.46,173.89114047,-3.4,1.45,10.527,,1.206001,29.891854,131.16754,0.75430835,0.0,91.0317812942,,金融特殊口径,41.33,金融特殊口径：ROE 40分、股本稳定性20分,30,71.33,一致,20260804150000,待评,未完成护城河初评,待核验
,162,002959,小熊电器,SZ,小家电,保留,通过,普通行业,淘汰,综合得分未进入前50,34.35,16.82,1.86,53.52882236,-0.87,0.72,38.277,35.50906,1.117198,8.669556,5.8643023264,0.10955411,0.0,45.7625300168,60,通过,48,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,25,73,一致,20260804150000,待评,未完成护城河初评,待核验
,435,002960,青鸟智控,SZ,专用设备,保留,通过,普通行业,淘汰,综合得分未进入前50,8.15,33.18,1.4,85.87937202,-1.57,0.91,18.647,36.749374,0.956097,14.970626,8.9730350116,0.10448417,0.0,34.164714354,60,通过,44,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,20,64,一致,20260804150000,待评,未完成护城河初评,待核验
,283,002961,瑞达期货,SZ,多元金融,金融,金融特殊口径通过,金融行业（特殊口径）,淘汰,综合得分未进入前50,19.86,11.63,2.37,94.71897979,-0.25,1.08,14.016,,1.611306,27.928181,20.9436680516,0.22111374,0.0,85.0168458237,,金融特殊口径,41.33,金融特殊口径：ROE 40分、股本稳定性20分,28,69.33,一致,20260804150000,待评,未完成护城河初评,待核验
,,002962,五方光电,SZ,光学光电子,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,12.6,227.35,2.11,36.74983435,3.87,4.96,18.652,15.874486,1.558073,16.08283,2.3762979421,0.06466146,0.0,19.5617224215,60,通过,45,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,10,55,一致,20260804150000,待评,未完成护城河初评,待核验
,216,002966,苏州银行,SZ,银行Ⅱ,金融,金融特殊口径通过,金融行业（特殊口径）,淘汰,综合得分未进入前50,8.3,5.51,0.73,371.06494691,-2.58,1.12,10.49,,1.101807,32.395671,291.84914912,0.7865177,0.0,91.9753861415,,金融特殊口径,41.33,金融特殊口径：ROE 40分、股本稳定性20分,30,71.33,一致,20260804150000,待评,未完成护城河初评,待核验
,,002967,广电计量,SZ,专业服务,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,17.35,163.86,2.3,110.97426987,0.12,0.69,12.329,43.466955,2.727648,10.313168,4.611038950899999,0.04155052,0.0,45.0427470659,60,通过,45,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,10,55,一致,20260804150000,待评,未完成护城河初评,待核验
,411,002972,科安达,SZ,轨交设备Ⅱ,保留,通过,普通行业,淘汰,综合得分未进入前50,12.41,20.46,2.49,30.52969208,2.65,4.59,13.758,60.771319,0.915283,32.416857,3.4159442183,0.11188925,0.0,13.5974132395,60,通过,43,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,65,一致,20260804150000,待评,未完成护城河初评,待核验
,125,002978,安宁股份,SZ,小金属,周期,通过,周期行业（本次保留）,淘汰,综合得分未进入前50,26.65,20.56,1.46,125.78532381,-0.3,0.67,21.838,67.674415,1.126951,42.905525,11.033336068599999,0.08771561,0.0,48.5351225206,60,通过,50,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,24,74,一致,20260804150000,待评,未完成护城河初评,待核验
,790,002979,雷赛智能,SZ,自动化设备,保留,通过,普通行业,淘汰,综合得分未进入前50,56.75,62.17,9.88,179.35162175,0.76,5.94,18.244,38.980789,0.887585,15.445251,3.9464456876,0.02200396,0.0,42.4453719179,60,通过,39,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,0,39,一致,20260804150000,待评,未完成护城河初评,待核验
,,002980,华盛昌,SZ,电网设备,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,69.22,184.55,11.61,131.10348295,10.0,5.13,20.066,42.101182,0.944467,17.624714,1.1933006859,0.00910198,0.0,24.9830832517,60,通过,41,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,0,41,一致,20260804150000,待评,未完成护城河初评,待核验
,566,002985,北摩高科,SZ,航空装备Ⅱ,保留,通过,普通行业,淘汰,综合得分未进入前50,26.09,32.19,3.19,86.58060424,-0.72,1.14,14.143,61.229967,2.825053,33.084151,2.1084317544,0.02435224,0.0,28.3244720955,60,通过,44,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,15,59,一致,20260804150000,待评,未完成护城河初评,待核验
,163,002991,甘源食品,SZ,休闲食品,保留,通过,普通行业,淘汰,综合得分未进入前50,43.19,15.17,2.39,40.25991741,-2.35,1.9,20.929,35.163461,1.143447,12.564987,3.8658191752999995,0.09602154,0.0,20.9388747382,60,通过,48,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,25,73,一致,20260804150000,待评,未完成护城河初评,待核验
,636,002993,奥海科技,SZ,消费电子,保留,通过,普通行业,淘汰,综合得分未进入前50,35.4,52.37,2.09,97.71816,4.52,2.8,19.467,20.212674,1.470738,8.733034,9.1506454358,0.09364324,0.0,49.5736848077,60,通过,45,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,10,55,一致,20260804150000,待评,未完成护城河初评,待核验
,350,003000,劲仔食品,SZ,休闲食品,保留,通过,普通行业,淘汰,综合得分未进入前50,10.77,17.04,3.63,48.56130092,-1.64,1.77,17.441,28.076018,1.428816,10.361356,3.6351934739,0.07485783,0.0,36.2678997183,60,通过,45,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,67,一致,20260804150000,待评,未完成护城河初评,待核验
,676,003002,壶化股份,SZ,化学制品,周期,通过,周期行业（本次保留）,淘汰,综合得分未进入前50,16.28,50.91,2.15,32.56,-0.97,1.62,11.54,39.56449,1.000408,13.189562,3.088822424,0.09486555,0.0,29.6887006413,60,通过,43,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,10,53,一致,20260804150000,待评,未完成护城河初评,待核验
,248,003006,百亚股份,SZ,个护用品,保留,通过,普通行业,淘汰,综合得分未进入前50,14.75,11.03,4.51,63.37304903,-2.19,1.38,17.154,49.525933,1.118503,10.586637,7.68656743,0.12129079,0.0,31.2803743667,60,通过,46,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,25,71,一致,20260804150000,待评,未完成护城河初评,待核验
,419,003008,开普检测,SZ,专业服务,保留,通过,普通行业,淘汰,综合得分未进入前50,18.29,68.18,1.87,19.0216,0.61,1.86,25.149,67.746375,1.485106,46.533782,2.3557705465,0.12384713,0.0,5.0553210566,60,通过,54,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,10,64,一致,20260804150000,待评,未完成护城河初评,待核验
,,003010,若羽臣,SZ,互联网电商,保留,通过,普通行业,淘汰,2025年报资产负债率超过普通行业门槛（公用事业放宽至70%）,26.11,28.07,11.61,81.21762918,0.54,3.8,13.706,41.966906,1.152711,6.236245,2.9602643602999996,0.03644854,0.0,67.0656006612,60,不通过,39,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,8,47,一致,20260804150000,待评,未完成护城河初评,待核验
,,003012,东鹏控股,SZ,家居用品,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,4.76,-27.55,0.76,55.07230312,-1.86,0.83,13.959,30.200778,3.081613,9.02473,18.4262301696,0.33458252,0.0,33.9806541017,60,通过,49,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,12,61,一致,20260804150000,待评,未完成护城河初评,待核验
,551,003017,大洋生物,SZ,化学原料,周期,通过,周期行业（本次保留）,淘汰,综合得分未进入前50,21.4,17.47,1.89,21.5712,0.99,2.11,11.799,18.756664,1.385165,9.256417,0.2390756857,0.0110831,0.0,37.4886752731,60,通过,35,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,25,60,一致,20260804150000,待评,未完成护城河初评,待核验
,647,003019,宸展光电,SZ,光学光电子,保留,通过,普通行业,淘汰,综合得分未进入前50,22.7,36.25,2.46,40.16818549,3.42,2.94,24.889,24.926238,0.765297,9.581455,4.4632006718,0.11111283,0.0,35.885106718,60,通过,41,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,14,55,一致,20260804150000,待评,未完成护城河初评,待核验
,595,003020,立方制药,SZ,化学制药,保留,通过,普通行业,淘汰,综合得分未进入前50,17.39,28.11,2.22,39.68721767,2.72,5.83,17.348,52.497063,1.059509,8.190755,0.6958151834999999,0.01753248,0.0,24.5257748737,60,通过,40,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,18,58,一致,20260804150000,待评,未完成护城河初评,待核验
,573,003023,彩虹集团,SZ,小家电,保留,通过,普通行业,淘汰,综合得分未进入前50,20.86,28.78,1.42,21.97425776,0.82,2.79,11.003,43.269356,0.910141,8.99143,2.871159353,0.13066013,0.0,22.7266502481,60,通过,39,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,20,59,一致,20260804150000,待评,未完成护城河初评,待核验
,351,003025,思进智能,SZ,通用设备,保留,通过,普通行业,淘汰,综合得分未进入前50,11.87,21.64,2.71,33.70528733,1.02,1.71,17.42,38.895469,1.089887,23.320909,1.5880734901,0.04711645,0.0,23.7391777917,60,通过,45,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,67,一致,20260804150000,待评,未完成护城河初评,待核验
,,003028,振邦智能,SZ,家电零部件Ⅱ,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,22.2,140.37,1.86,31.9946733,1.46,1.45,23.049,24.211759,1.580847,16.222627,5.3341754569,0.16672074,0.0,35.1364573096,60,通过,53,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,10,63,一致,20260804150000,待评,未完成护城河初评,待核验
,768,003031,中瓷电子,SZ,通信设备,保留,通过,普通行业,淘汰,综合得分未进入前50,100.3,58.51,7.06,452.40601758,10.0,3.5,17.757,35.028616,1.158267,15.299751,8.070187215399999,0.01783837,0.0,19.2850982274,60,通过,41,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,4,45,一致,20260804150000,待评,未完成护城河初评,待核验
,,003036,泰坦股份,SZ,专用设备,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,45.0,118.81,6.91,97.47290025,10.0,2.62,9.163,17.852784,0.766836,7.954621,1.6678277062,0.01711068,0.0,54.706442183,60,通过,27,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,4,31,一致,20260804150000,待评,未完成护城河初评,待核验
,452,003039,顺控发展,SZ,环境治理,保留,通过,普通行业,淘汰,行业分散上限：同一细分行业最多入选3家,12.16,28.81,2.65,75.09027757,-0.41,0.6,12.489,44.683416,2.188613,18.665286,5.740427778099999,0.07644702,0.0,52.6152483336,60,通过,45,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,18,63,一致,20260804150000,待评,未完成护城河初评,待核验
,,003043,华亚智能,SZ,半导体,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,62.0,286.12,4.37,89.28626324,6.71,6.4,15.674,33.40456,1.317301,18.265674,0.419947064,0.00470338,0.0,31.7321140382,60,通过,43,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,7,50,一致,20260804150000,待评,未完成护城河初评,待核验
,235,003816,中国广核,SZ,电力,保留,通过,普通行业,淘汰,综合得分未进入前50,4.07,18.75,1.63,2055.30188719,-2.16,0.33,11.16,34.36838,3.2683,15.322933,603.5951865216999,0.29367714,0.0,65.1513507094,70,通过,49,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,71,一致,20260804150000,待评,未完成护城河初评,待核验
,124,300003,乐普医疗,SZ,医疗器械,保留,通过,普通行业,淘汰,综合得分未进入前50,12.93,24.14,1.48,238.35481578,0.08,1.44,14.47,62.518564,1.677245,17.467617,50.5846842144,0.2122243,0.0,32.0557612906,60,通过,50,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,24,74,一致,20260804150000,待评,未完成护城河初评,待核验
,231,300009,安科生物,SZ,生物制品,保留,通过,普通行业,淘汰,综合得分未进入前50,8.39,20.91,3.24,140.1717894,0.36,1.3,15.987,77.982435,1.425641,21.985671,27.4769159204,0.19602315,0.0,14.6241430756,60,通过,52,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,19,71,一致,20260804150000,待评,未完成护城河初评,待核验
,538,300012,华测检测,SZ,专业服务,保留,通过,普通行业,淘汰,综合得分未进入前50,14.19,33.48,3.13,238.79332357,-0.07,1.68,13.475,49.274418,1.278547,13.525572,25.2369055054,0.10568514,0.0,23.8788690799,60,通过,45,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,15,60,一致,20260804150000,待评,未完成护城河初评,待核验
,120,300015,爱尔眼科,SZ,医疗服务,保留,通过,普通行业,淘汰,综合得分未进入前50,8.94,17.61,3.76,831.38108722,-1.32,1.1,19.691,49.682058,1.700225,14.63395,170.363046479,0.20491571,0.0,36.2025080586,60,通过,52,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,74,一致,20260804150000,待评,未完成护城河初评,待核验
,428,300019,硅宝科技,SZ,化学制品,周期,通过,周期行业（本次保留）,淘汰,综合得分未进入前50,15.11,32.28,2.25,59.39993337,1.61,2.78,12.633,21.679311,1.331248,10.14506,11.146719944300001,0.18765543,0.0,33.9612588801,60,通过,46,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,18,64,一致,20260804150000,待评,未完成护城河初评,待核验
,,300033,同花顺,SZ,软件开发,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,233.51,171.67,41.37,1757.489664,1.05,2.63,30.049,90.213983,1.146116,51.724664,105.9381077305,0.06027808,0.0,40.0495286092,60,通过,50,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,0,50,一致,20260804150000,待评,未完成护城河初评,待核验
,597,300037,新宙邦,SZ,电池,保留,通过,普通行业,淘汰,综合得分未进入前50,63.57,24.94,4.51,479.24560228,4.26,3.11,13.816,29.447883,1.343375,15.167781,13.921143130499999,0.02904804,0.0,43.1563664431,60,通过,39,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,19,58,一致,20260804150000,待评,未完成护城河初评,待核验
,269,300039,上海凯宝,SZ,中药Ⅱ,保留,通过,普通行业,淘汰,综合得分未进入前50,5.64,22.74,1.29,58.9944,3.49,4.82,10.836,79.829551,1.122147,18.07238,11.240501950799999,0.19053507,0.0,7.5264518017,60,通过,46,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,24,70,一致,20260804150000,待评,未完成护城河初评,待核验
,549,300041,回天新材,SZ,化学制品,周期,通过,周期行业（本次保留）,淘汰,综合得分未进入前50,10.63,17.74,2.02,59.46803851,1.63,3.61,8.6,22.169186,1.285955,7.191994,1.2787844936,0.02150373,0.0,52.8551812333,60,通过,35,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,25,60,一致,20260804150000,待评,未完成护城河初评,待核验
,523,300059,东方财富,SZ,证券Ⅱ,金融,金融特殊口径通过,金融行业（特殊口径）,淘汰,综合得分未进入前50,20.05,21.22,3.36,3172.35107494,0.2,1.56,12.028,65.903465,0.922044,55.275982,385.6191679333,0.12155627,0.0,76.6180756603,,金融特殊口径,41.33,金融特殊口径：ROE 40分、股本稳定性20分,19,60.33,一致,20260804150000,待评,未完成护城河初评,待核验
,611,300073,当升科技,SZ,电池,保留,通过,普通行业,淘汰,综合得分未进入前50,42.08,20.68,1.55,229.03877549,0.79,2.48,11.01,15.76106,1.410281,8.047241,0.3034524188,0.0013249,0.0,31.1444740027,60,通过,35,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,57,一致,20260804150000,待评,未完成护城河初评,待核验
,675,300113,顺网科技,SZ,游戏Ⅱ,保留,通过,普通行业,淘汰,综合得分未进入前50,19.12,40.04,5.05,128.90013424,2.25,8.14,8.331,49.722076,1.675386,10.786691,11.052837520999999,0.08574729,0.0,14.2938267268,60,通过,45,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,8,53,一致,20260804150000,待评,未完成护城河初评,待核验
,408,300119,瑞普生物,SZ,动物保健Ⅱ,保留,通过,普通行业,淘汰,综合得分未进入前50,17.68,19.06,1.77,82.16863202,2.67,2.5,9.536,45.308147,1.22867,14.23883,9.239120432,0.11244097,0.0,32.2794593169,60,通过,43,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,65,一致,20260804150000,待评,未完成护城河初评,待核验
,186,300121,阳谷华泰,SZ,橡胶,保留,通过,普通行业,淘汰,综合得分未进入前50,9.5,17.61,1.19,42.29763252,0.64,2.71,15.083,21.669136,1.242369,10.362464,2.5057421193000002,0.05924072,0.0,19.5476099489,60,通过,45,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,27,72,一致,20260804150000,待评,未完成护城河初评,待核验
,637,300124,汇川技术,SZ,自动化设备,保留,通过,普通行业,淘汰,综合得分未进入前50,64.1,42.81,4.95,1735.5741281,-0.02,0.95,20.413,32.164118,0.989805,17.568166,131.3251484968,0.07566669,0.0,47.9277662282,60,通过,44,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,11,55,一致,20260804150000,待评,未完成护城河初评,待核验
,748,300127,银河磁体,SZ,金属新材料,保留,通过,普通行业,淘汰,综合得分未进入前50,23.94,35.96,5.38,77.36123858,0.97,1.36,12.556,32.292921,0.887901,23.807405,4.4466928945,0.0574796,0.0,8.3898396858,60,通过,40,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,8,48,一致,20260804150000,待评,未完成护城河初评,待核验
,451,300130,新国都,SZ,计算机设备,保留,通过,普通行业,淘汰,综合得分未进入前50,19.15,25.46,2.5,108.63899061,0.26,3.6,8.907,32.152504,2.450008,8.877747,26.1884788813,0.24105967,0.0,28.3577449652,60,通过,45,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,18,63,一致,20260804150000,待评,未完成护城河初评,待核验
,,300136,信维通信,SZ,消费电子,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,59.55,137.33,7.22,576.18712393,5.4,7.13,18.918,21.331905,2.390712,14.061949,21.7413482734,0.03773314,0.0,41.4285590266,60,通过,47,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,4,51,一致,20260804150000,待评,未完成护城河初评,待核验
,146,300146,汤臣倍健,SZ,食品加工,保留,通过,普通行业,淘汰,综合得分未进入前50,10.25,10.79,1.61,173.39689568,-0.68,1.32,12.516,67.564285,1.161846,17.091559,49.4455529699,0.28515824,0.0,19.9544990843,60,通过,46,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,28,74,一致,20260804150000,待评,未完成护城河初评,待核验
,,300171,东富龙,SZ,医疗器械,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,12.75,88.72,1.24,97.6430751,4.34,3.11,8.538,35.761278,1.918047,10.559704,2.5945334165,0.02657161,0.0,39.5203962604,60,通过,40,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,12,52,一致,20260804150000,待评,未完成护城河初评,待核验
,548,300181,佐力药业,SZ,中药Ⅱ,保留,通过,普通行业,淘汰,综合得分未进入前50,14.33,12.59,3.16,100.50880511,-0.56,3.07,9.784,66.595767,0.912082,11.56776,5.5996510275,0.05571304,0.0,31.2063518174,60,通过,38,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,60,一致,20260804150000,待评,未完成护城河初评,待核验
,667,300193,佳士科技,SZ,通用设备,保留,通过,普通行业,淘汰,综合得分未进入前50,7.61,35.01,1.61,36.24261016,0.13,0.83,8.253,28.708562,0.930725,17.490557,5.7059261314,0.15743695,0.0,24.2274766015,60,通过,40,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,14,54,一致,20260804150000,待评,未完成护城河初评,待核验
,264,300206,理邦仪器,SZ,医疗器械,保留,通过,普通行业,淘汰,综合得分未进入前50,12.04,16.61,3.3,69.79146686,0.67,1.22,12.642,57.163702,1.318322,12.113213,11.1822072261,0.16022313,0.0,17.0143569325,60,通过,48,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,70,一致,20260804150000,待评,未完成护城河初评,待核验
,696,300259,新天科技,SZ,通用设备,保留,通过,普通行业,淘汰,综合得分未进入前50,4.0,59.45,1.54,46.2042014,1.52,3.36,10.264,44.483157,0.865301,23.604668,5.3946080346,0.11675579,0.0,18.9056734954,60,通过,42,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,10,52,一致,20260804150000,待评,未完成护城河初评,待核验
,,300272,开能健康,SZ,小家电,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,5.63,161.07,2.79,34.42573127,-0.18,1.35,10.496,36.573742,3.157774,10.020427,7.870014480599999,0.22860849,0.0,62.8966009351,60,不通过,49,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,10,59,一致,20260804150000,待评,未完成护城河初评,待核验
