code,rev2025,np2025,roe2025,eps2025,bvps2025,debt_ratio2025
600760,44655784258.86,3517760109.76,18.35,1.26,8.307388,66.875407
600893,46331495671.4,634328156.8,1.58,0.24,15.077626,59.966539
600038,29086417692.19,651865073.68,3.99,0.7951,21.440304,65.6981
000768,41013725506.67,1151240411.01,6.32,0.4149,7.985307,71.471694
600372,24211960384.18,1067323487.88,2.82,0.2207,7.845108,52.146364
