代码,简称,公告标题,公告时间,公告链接
002028,思源电气,2025年三季度报告,2025-10-18 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224719649&orgId=gssz0002028&announcementTime=2025-10-18 00:00:00
002028,思源电气,第八届董事会第二十四次会议决议公告,2025-09-27 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224686511&orgId=gssz0002028&announcementTime=2025-09-27 00:00:00
002028,思源电气,关于和第三方共同成立合资公司的公告,2025-09-27 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224686510&orgId=gssz0002028&announcementTime=2025-09-27 00:00:00
002028,思源电气,关于参加2025年上海辖区上市公司集体接待日暨中报业绩说明会活动的公告,2025-09-17 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224663516&orgId=gssz0002028&announcementTime=2025-09-17 00:00:00
002028,思源电气,半年报监事会决议公告,2025-08-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224498692&orgId=gssz0002028&announcementTime=2025-08-16 00:00:00
002028,思源电气,2025年半年度财务报告,2025-08-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224498691&orgId=gssz0002028&announcementTime=2025-08-16 00:00:00
002028,思源电气,2025年半年度报告,2025-08-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224498689&orgId=gssz0002028&announcementTime=2025-08-16 00:00:00
002028,思源电气,半年度非经营性资金占用及其他关联资金往来情况汇总表,2025-08-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224498688&orgId=gssz0002028&announcementTime=2025-08-16 00:00:00
002028,思源电气,2025年半年度报告摘要,2025-08-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224498687&orgId=gssz0002028&announcementTime=2025-08-16 00:00:00
002028,思源电气,半年报董事会决议公告,2025-08-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224498686&orgId=gssz0002028&announcementTime=2025-08-16 00:00:00
002028,思源电气,半年报财务报表,2025-08-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224498685&orgId=gssz0002028&announcementTime=2025-08-16 00:00:00
002028,思源电气,关于2023年股票期权激励计划第二个行权期采用自主行权模式的提示性公告,2025-08-11 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224440880&orgId=gssz0002028&announcementTime=2025-08-11 00:00:00
002028,思源电气,关于2023年股票期权激励计划部分股票期权注销完成的公告,2025-07-26 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224299758&orgId=gssz0002028&announcementTime=2025-07-26 00:00:00
