编号,股东名称,持股数量,持股比例,股本性质,截至日期,公告日期,股东说明,股东总数,平均持股数
6,香港中央结算有限公司,17582622.0,1.05,流通A股,2017-06-30,2017-08-22,,97625.0,17148.0
7,天安财产保险股份有限公司－保赢1号,13017005.0,0.78,流通A股,2017-06-30,2017-08-22,,97625.0,17148.0
8,王莲枝,9965540.0,0.6,流通A股,2017-06-30,2017-08-22,,97625.0,17148.0
9,中国农业银行股份有限公司－交银施罗德成长混合型证券投资基金,9402182.0,0.56,流通A股,2017-06-30,2017-08-22,,97625.0,17148.0
10,大成价值增长证券投资基金,8534540.0,0.51,流通A股,2017-06-30,2017-08-22,,97625.0,17148.0
1,"BIGGERING(BVI) HOLDINGS CO., LTD.",337999943.0,20.19,流通A股,2017-03-31,2017-04-22,,103005.0,16253.0
2,"WUS GROUP HOLDINGS CO., LTD.",221555421.0,13.23,流通A股,2017-03-31,2017-04-22,,103005.0,16253.0
3,中央汇金资产管理有限责任公司,65144800.0,3.89,流通A股,2017-03-31,2017-04-22,,103005.0,16253.0
4,HAPPY UNION INVESTMENT LIMITED,31733440.0,1.9,流通A股,2017-03-31,2017-04-22,,103005.0,16253.0
5,全国社保基金一零三组合,21999837.0,1.31,流通A股,2017-03-31,2017-04-22,,103005.0,16253.0
6,天安财产保险股份有限公司-保赢1号,13017005.0,0.78,流通A股,2017-03-31,2017-04-22,,103005.0,16253.0
7,王莲枝,9823034.0,0.59,流通A股,2017-03-31,2017-04-22,,103005.0,16253.0
8,中国农业银行股份有限公司-交银施罗德成长混合型证券投资基金,9402182.0,0.56,流通A股,2017-03-31,2017-04-22,,103005.0,16253.0
9,黄立山,6505078.0,0.39,流通A股,2017-03-31,2017-04-22,,103005.0,16253.0
10,三星资产运用株式会社-三星中国中小型股精选母基金,5860000.0,0.35,流通A股,2017-03-31,2017-04-22,,103005.0,16253.0
1,BIGGERING(BVI)HOLDINGS CO.LTD.,337999943.0,20.19,流通A股,2016-12-31,2017-03-29,,105228.0,15909.0
2,WUS GROUP HOLDINGS CO.LTD.,221555421.0,13.23,流通A股,2016-12-31,2017-03-29,,105228.0,15909.0
3,中央汇金资产管理有限责任公司,65144800.0,3.89,流通A股,2016-12-31,2017-03-29,,105228.0,15909.0
4,HAPPY UNION INVESTMENT LIMITED,31733440.0,1.9,流通A股,2016-12-31,2017-03-29,,105228.0,15909.0
5,全国社保基金一零三组合,17999929.0,1.08,流通A股,2016-12-31,2017-03-29,,105228.0,15909.0
6,中国农业银行股份有限公司－交银施罗德成长混合型证券投资基金,13194859.0,0.79,流通A股,2016-12-31,2017-03-29,,105228.0,15909.0
7,天安财产保险股份有限公司－保赢1号,13017005.0,0.78,流通A股,2016-12-31,2017-03-29,,105228.0,15909.0
8,王莲枝,10376934.0,0.62,流通A股,2016-12-31,2017-03-29,,105228.0,15909.0
9,邹嘉俊,8122124.0,0.49,流通A股,2016-12-31,2017-03-29,,105228.0,15909.0
10,黄立山,6009978.0,0.36,流通A股,2016-12-31,2017-03-29,,105228.0,15909.0
1,BIGGERING(BVI)HOLDINGS CO.LTD.,337999943.0,20.19,流通A股,2016-09-30,2016-10-25,,101857.0,16436.0
2,WUS GROUP HOLDINGS CO.LTD.,221555421.0,13.23,流通A股,2016-09-30,2016-10-25,,101857.0,16436.0
3,中央汇金资产管理有限责任公司,65144800.0,3.89,流通A股,2016-09-30,2016-10-25,,101857.0,16436.0
4,HAPPY UNION INVESTMENT LIMITED,31733440.0,1.9,流通A股,2016-09-30,2016-10-25,,101857.0,16436.0
5,全国社保基金一零三组合,17999929.0,1.08,流通A股,2016-09-30,2016-10-25,,101857.0,16436.0
6,中国农业银行股份有限公司－交银施罗德成长混合型证券投资基金,13194859.0,0.79,流通A股,2016-09-30,2016-10-25,,101857.0,16436.0
7,天安财产保险股份有限公司－保赢1号,13017005.0,0.78,流通A股,2016-09-30,2016-10-25,,101857.0,16436.0
8,中国建设银行股份有限公司－银华中国梦30股票型证券投资基金,9468715.0,0.57,流通A股,2016-09-30,2016-10-25,,101857.0,16436.0
9,王莲枝,9104934.0,0.54,流通A股,2016-09-30,2016-10-25,,101857.0,16436.0
10,邹嘉俊,8232324.0,0.49,流通A股,2016-09-30,2016-10-25,,101857.0,16436.0
1,BIGGERING(BVI) HOLDINGS CO.LTD.,337999943.0,20.19,流通A股,2016-06-30,2016-08-23,,107629.0,15554.0
2,WUS GROUP HOLDINGS CO.LTD.,221555421.0,13.23,流通A股,2016-06-30,2016-08-23,,107629.0,15554.0
3,中央汇金资产管理有限责任公司,65144800.0,3.89,流通A股,2016-06-30,2016-08-23,,107629.0,15554.0
4,HAPPY UNION INVESTMENT LIMITED,31733440.0,1.9,流通A股,2016-06-30,2016-08-23,,107629.0,15554.0
5,全国社保基金一零三组合,15999929.0,0.96,流通A股,2016-06-30,2016-08-23,,107629.0,15554.0
6,中国建设银行股份有限公司－银华中国梦30股票型证券投资基金,13975043.0,0.83,流通A股,2016-06-30,2016-08-23,,107629.0,15554.0
7,中国工商银行股份有限公司－博时精选混合型证券投资基金,11997133.0,0.72,流通A股,2016-06-30,2016-08-23,,107629.0,15554.0
8,中国建设银行股份有限公司－博时互联网主题灵活配置混合型证券投资基金,9758734.0,0.58,流通A股,2016-06-30,2016-08-23,,107629.0,15554.0
9,陈子升,9163000.0,0.55,流通A股,2016-06-30,2016-08-23,,107629.0,15554.0
10,丰和价值证券投资基金,8913700.0,0.53,流通A股,2016-06-30,2016-08-23,,107629.0,15554.0
1,"BIGGERING(BVI) HOLDINGS CO.,LTD.",399762943.0,23.88,流通A股,2016-03-31,2016-04-28,,118363.0,14143.0
2,"WUS GROUP HOLDINGS CO., LTD.",221555421.0,13.23,流通A股,2016-03-31,2016-04-28,,118363.0,14143.0
3,中央汇金资产管理有限责任公司,65144800.0,3.89,流通A股,2016-03-31,2016-04-28,,118363.0,14143.0
4,HAPPY UNION INVESTMENT LIMITED,31733440.0,1.9,流通A股,2016-03-31,2016-04-28,,118363.0,14143.0
5,杜昆能源科技(昆山)有限公司,18745527.0,1.12,流通A股,2016-03-31,2016-04-28,,118363.0,14143.0
6,五矿国际信托有限公司-五矿信托-新时代恒禧证券投资集合资金信托计划,13190000.0,0.79,流通A股,2016-03-31,2016-04-28,,118363.0,14143.0
7,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,5889158.0,0.35,流通A股,2016-03-31,2016-04-28,,118363.0,14143.0
8,吴喜强,5700000.0,0.34,流通A股,2016-03-31,2016-04-28,,118363.0,14143.0
9,黄立山,5654878.0,0.34,流通A股,2016-03-31,2016-04-28,,118363.0,14143.0
10,龙口聚源投资合伙企业(有限合伙),5000000.0,0.3,流通A股,2016-03-31,2016-04-28,,118363.0,14143.0
1,BIGGERING(BVI)HOLDINGS CO.LTD.,399762943.0,23.88,流通A股,2015-12-31,2016-03-25,,104244.0,16059.0
2,WUS GROUP HOLDINGS CO.LTD.,221555421.0,13.23,流通A股,2015-12-31,2016-03-25,,104244.0,16059.0
3,中央汇金资产管理有限责任公司,65144800.0,3.89,流通A股,2015-12-31,2016-03-25,,104244.0,16059.0
4,五矿国际信托有限公司-五矿信托-盛隆一号证券投资集合资金信托计划,42676100.0,2.55,流通A股,2015-12-31,2016-03-25,,104244.0,16059.0
5,HAPPY UNION INVESTMENT LIMITED,31733440.0,1.9,流通A股,2015-12-31,2016-03-25,,104244.0,16059.0
6,杜昆能源科技(昆山)有限公司,18745527.0,1.12,流通A股,2015-12-31,2016-03-25,,104244.0,16059.0
7,王钧,16058869.0,0.96,流通A股,2015-12-31,2016-03-25,,104244.0,16059.0
8,五矿国际信托有限公司-五矿信托-新时代恒禧证券投资集合资金信托计划,13190000.0,0.79,流通A股,2015-12-31,2016-03-25,,104244.0,16059.0
9,李国权,7497231.0,0.45,流通A股,2015-12-31,2016-03-25,,104244.0,16059.0
10,夏贤梅,6026300.0,0.36,流通A股,2015-12-31,2016-03-25,,104244.0,16059.0
1,BIGGERING(BVI)HOLDINGS CO.LTD.,399762943.0,23.88,流通A股,2015-09-30,2015-10-28,,108483.0,15431.0
2,WUS GROUP HOLDINGS CO.LTD.,221555421.0,13.23,流通A股,2015-09-30,2015-10-28,,108483.0,15431.0
3,中央汇金投资有限责任公司,65144800.0,3.89,流通A股,2015-09-30,2015-10-28,,108483.0,15431.0
4,HAPPY UNION INVESTMENT LIMITED,31733440.0,1.9,流通A股,2015-09-30,2015-10-28,,108483.0,15431.0
5,易方达基金-农业银行-易方达中证金融资产管理计划,19439100.0,1.16,流通A股,2015-09-30,2015-10-28,,108483.0,15431.0
6,银华基金-农业银行-银华中证金融资产管理计划,19439100.0,1.16,流通A股,2015-09-30,2015-10-28,,108483.0,15431.0
7,华夏基金-农业银行-华夏中证金融资产管理计划,19439100.0,1.16,流通A股,2015-09-30,2015-10-28,,108483.0,15431.0
8,广发基金-农业银行-广发中证金融资产管理计划,19439100.0,1.16,流通A股,2015-09-30,2015-10-28,,108483.0,15431.0
9,嘉实基金-农业银行-嘉实中证金融资产管理计划,19439100.0,1.16,流通A股,2015-09-30,2015-10-28,,108483.0,15431.0
10,大成基金-农业银行-大成中证金融资产管理计划,19439100.0,1.16,流通A股,2015-09-30,2015-10-28,,108483.0,15431.0
11,博时基金-农业银行-博时中证金融资产管理计划,19439100.0,1.16,流通A股,2015-09-30,2015-10-28,,108483.0,15431.0
12,中欧基金-农业银行-中欧中证金融资产管理计划,19439100.0,1.16,流通A股,2015-09-30,2015-10-28,,108483.0,15431.0
13,南方基金-农业银行-南方中证金融资产管理计划,19439100.0,1.16,流通A股,2015-09-30,2015-10-28,,108483.0,15431.0
14,工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,19439100.0,1.16,流通A股,2015-09-30,2015-10-28,,108483.0,15431.0
1,BIGGERING(BVI)HOLDINGS CO.LTD.,399762943.0,23.88,流通A股,2015-06-30,2015-08-06,,98793.0,16945.0
2,WUS GROUP HOLDINGS CO.LTD.,221555421.0,13.23,流通A股,2015-06-30,2015-08-06,,98793.0,16945.0
3,HAPPY UNION INVESTMENT LIMITED,31733440.0,1.9,流通A股,2015-06-30,2015-08-06,,98793.0,16945.0
4,中融国际信托有限公司-中融-聚盈1号证券投资集合资金信托计划,27405351.0,1.64,流通A股,2015-06-30,2015-08-06,,98793.0,16945.0
5,杜昆能源科技(昆山)有限公司,18745527.0,1.12,流通A股,2015-06-30,2015-08-06,,98793.0,16945.0
6,刘永忠,10000100.0,0.6,流通A股,2015-06-30,2015-08-06,,98793.0,16945.0
7,张吉昌,9780000.0,0.58,流通A股,2015-06-30,2015-08-06,,98793.0,16945.0
8,龙口聚源投资合伙企业(有限合伙),8500000.0,0.51,流通A股,2015-06-30,2015-08-06,,98793.0,16945.0
9,王建军,8341442.0,0.5,流通A股,2015-06-30,2015-08-06,,98793.0,16945.0
10,孙海珍,8148994.0,0.49,流通A股,2015-06-30,2015-08-06,,98793.0,16945.0
1,BIGGERING(BVI)HOLDINGS CO.LTD.,458993743.0,27.42,流通A股,2015-03-31,2015-04-29,,47879.0,34962.0
2,WUS GROUP HOLDINGS CO.LTD.,383025348.0,22.88,流通A股,2015-03-31,2015-04-29,,47879.0,34962.0
3,HAPPY UNION INVESTMENT LIMITED,31733440.0,1.9,流通A股,2015-03-31,2015-04-29,,47879.0,34962.0
4,中融国际信托有限公司-中融-聚盈1号证券投资集合资金信托计划,31352763.0,1.87,流通A股,2015-03-31,2015-04-29,,47879.0,34962.0
5,杜昆能源科技(昆山)有限公司,18745527.0,1.12,流通A股,2015-03-31,2015-04-29,,47879.0,34962.0
6,中融国际信托有限公司-中融增强75号,10930771.0,0.65,流通A股,2015-03-31,2015-04-29,,47879.0,34962.0
7,陈子升,7741597.0,0.46,流通A股,2015-03-31,2015-04-29,,47879.0,34962.0
8,王建军,7558822.0,0.45,流通A股,2015-03-31,2015-04-29,,47879.0,34962.0
9,孙海珍,6900000.0,0.41,流通A股,2015-03-31,2015-04-29,,47879.0,34962.0
10,滕云达,6517998.0,0.39,流通A股,2015-03-31,2015-04-29,,47879.0,34962.0
1,"BIGGERING(BVI) HOLDINGS CO.,LTD.",458993743.0,27.42,流通A股,2014-12-31,2015-03-26,,42058.0,39801.0
2,"WUS GROUP HOLDINGS CO.,LTD.",399766945.0,23.88,流通A股,2014-12-31,2015-03-26,,42058.0,39801.0
3,HAPPY UNION INVESTMENT LIMITED,49864706.0,2.98,流通A股,2014-12-31,2015-03-26,,42058.0,39801.0
4,中新苏州工业园区创业投资有限公司,45600000.0,2.72,流通A股,2014-12-31,2015-03-26,,42058.0,39801.0
5,杜昆能源科技(昆山)有限公司,24994035.0,1.49,流通A股,2014-12-31,2015-03-26,,42058.0,39801.0
6,李英,19764458.0,1.18,流通A股,2014-12-31,2015-03-26,,42058.0,39801.0
7,滕云达,14141200.0,0.84,流通A股,2014-12-31,2015-03-26,,42058.0,39801.0
8,何晋平,12562995.0,0.75,流通A股,2014-12-31,2015-03-26,,42058.0,39801.0
9,王子文,9285000.0,0.55,流通A股,2014-12-31,2015-03-26,,42058.0,39801.0
10,中融国际信托有限公司-中融增强12号,8921029.0,0.53,流通A股,2014-12-31,2015-03-26,,42058.0,39801.0
1,"BIGGERING(BVI) HOLDINGS CO.,LTD.",458993743.0,27.42,流通A股,2014-09-30,2014-10-28,,47687.0,35103.0
2,"WUS GROUP HOLDINGS CO.,LTD.",399766945.0,23.88,流通A股,2014-09-30,2014-10-28,,47687.0,35103.0
3,中新苏州工业园区创业投资有限公司,60000000.0,3.58,流通A股,2014-09-30,2014-10-28,,47687.0,35103.0
4,HAPPY UNION INVESTMENT LIMITED,49864706.0,2.98,流通A股,2014-09-30,2014-10-28,,47687.0,35103.0
5,杜昆能源科技(昆山)有限公司,24994035.0,1.49,流通A股,2014-09-30,2014-10-28,,47687.0,35103.0
6,中国农业银行-大成创新成长混合型证券投资基金(LOF),16702603.0,1.0,流通A股,2014-09-30,2014-10-28,,47687.0,35103.0
7,全国社保基金一一零组合,15014270.0,0.9,流通A股,2014-09-30,2014-10-28,,47687.0,35103.0
8,中国工商银行-博时精选股票证券投资基金,15009672.0,0.9,流通A股,2014-09-30,2014-10-28,,47687.0,35103.0
9,全国社保基金一零八组合,14999888.0,0.9,流通A股,2014-09-30,2014-10-28,,47687.0,35103.0
10,全国社保基金四一一组合,11430518.0,0.68,流通A股,2014-09-30,2014-10-28,,47687.0,35103.0
1,中新苏州工业园区创业投资有限公司,83288175.0,4.97,流通A股,2014-09-04,2014-09-05,,,
,,,,,2014-09-04,2014-09-05,,,
,,,,,2014-09-04,2014-09-05,,,
,,,,,2014-09-04,2014-09-05,,,
1,合拍友联有限公司,49864706.0,2.98,流通A股,2014-08-20,2014-08-22,,,
,,,,,2014-08-20,2014-08-22,,,
,,,,,2014-08-20,2014-08-22,,,
,,,,,2014-08-20,2014-08-22,,,
1,合拍友联有限公司,61864706.0,3.7,流通A股,2014-08-14,2014-08-16,,,
,,,,,2014-08-14,2014-08-16,,,
,,,,,2014-08-14,2014-08-16,,,
,,,,,2014-08-14,2014-08-16,,,
1,中新苏州工业园区创业投资有限公司,121878091.0,7.28,流通A股,2014-08-06,2014-08-08,,,
,,,,,2014-08-06,2014-08-08,,,
,,,,,2014-08-06,2014-08-08,,,
,,,,,2014-08-06,2014-08-08,,,
1,"BIGGERING(BVI) HOLDINGS CO.,LTD.",458993743.0,27.42,流通A股,2014-06-30,2014-08-05,,44580.0,37549.0
2,"WUS GROUP HOLDINGS CO.,LTD.",399766945.0,23.88,流通A股,2014-06-30,2014-08-05,,44580.0,37549.0
3,中新苏州工业园区创业投资有限公司,128511985.0,7.68,流通A股,2014-06-30,2014-08-05,,44580.0,37549.0
4,HAPPY UNION INVESTMENT LIMITED,66667906.0,3.98,流通A股,2014-06-30,2014-08-05,,44580.0,37549.0
5,"HDF CO.,LTD",36628728.0,2.19,流通A股,2014-06-30,2014-08-05,,44580.0,37549.0
6,杜昆能源科技(昆山)有限公司,33314035.0,1.99,流通A股,2014-06-30,2014-08-05,,44580.0,37549.0
7,中国工商银行-博时精选股票证券投资基金,8009711.0,0.48,流通A股,2014-06-30,2014-08-05,,44580.0,37549.0
8,南充市宝林贸易有限责任公司,7182787.0,0.43,流通A股,2014-06-30,2014-08-05,,44580.0,37549.0
9,南充中诚商贸有限责任公司,4585560.0,0.27,流通A股,2014-06-30,2014-08-05,,44580.0,37549.0
10,陈军生,2600046.0,0.16,流通A股,2014-06-30,2014-08-05,,44580.0,37549.0
1,"BIGGERING(BVI) HOLDINGS CO.,LTD.",382494786.0,27.42,流通A股,2014-03-31,2014-04-25,,46804.0,29808.0
2,"WUS GROUP HOLDINGS CO.,LTD.",333139121.0,23.88,流通A股,2014-03-31,2014-04-25,,46804.0,29808.0
3,中新苏州工业园区创业投资有限公司,107093321.0,7.68,流通A股,2014-03-31,2014-04-25,,46804.0,29808.0
4,HAPPY UNION INVESTMENT LIMITED,55556588.0,3.98,流通A股,2014-03-31,2014-04-25,,46804.0,29808.0
5,"HDF CO.,LTD",30523940.0,2.19,流通A股,2014-03-31,2014-04-25,,46804.0,29808.0
6,杜昆能源科技(昆山)有限公司,27761696.0,1.99,流通A股,2014-03-31,2014-04-25,,46804.0,29808.0
7,南充市宝林贸易有限责任公司,5985656.0,0.43,流通A股,2014-03-31,2014-04-25,,46804.0,29808.0
8,中国工商银行-诺安股票证券投资基金,5472461.0,0.39,流通A股,2014-03-31,2014-04-25,,46804.0,29808.0
9,南充中诚商贸有限责任公司,3821300.0,0.27,流通A股,2014-03-31,2014-04-25,,46804.0,29808.0
10,陈军生,3007072.0,0.22,流通A股,2014-03-31,2014-04-25,,46804.0,29808.0
1,"BIGGERING(BVI) HOLDINGS CO.,LTD.",382494786.0,27.42,流通A股,2013-12-31,2014-04-25,,43560.0,32028.0
2,"WUS GROUP HOLDINGS CO.,LTD.",333139121.0,23.88,流通A股,2013-12-31,2014-04-25,,43560.0,32028.0
3,中新苏州工业园区创业投资有限公司,107093321.0,7.68,流通A股,2013-12-31,2014-04-25,,43560.0,32028.0
4,HAPPY UNION INVESTMENT LIMITED,55556588.0,3.98,流通A股,2013-12-31,2014-04-25,,43560.0,32028.0
5,"HDF CO.,LTD.",30523940.0,2.19,流通A股,2013-12-31,2014-04-25,,43560.0,32028.0
6,杜昆电子材料(昆山)有限公司,27761696.0,1.99,流通A股,2013-12-31,2014-04-25,,43560.0,32028.0
7,谭觅宇,10161800.0,0.73,流通A股,2013-12-31,2014-04-25,,43560.0,32028.0
8,陈科佳,8067184.0,0.58,流通A股,2013-12-31,2014-04-25,,43560.0,32028.0
9,南充市宝林贸易有限责任公司,5985656.0,0.43,流通A股,2013-12-31,2014-04-25,,43560.0,32028.0
10,李明华,5900000.0,0.42,流通A股,2013-12-31,2014-04-25,,43560.0,32028.0
1,合拍友联有限公司,69456588.0,4.98,流通A股,2013-12-23,2013-12-24,,,
,,,,,2013-12-23,2013-12-24,,,
,,,,,2013-12-23,2013-12-24,,,
,,,,,2013-12-23,2013-12-24,,,
1,"BIGGERING(BVI) HOLDINGS CO.,LTD.",382494786.0,27.42,流通A股,2013-09-30,2013-10-28,,42395.0,32908.0
2,"WUS GROUP HOLDINGS CO.,LTD.",333139121.0,23.88,流通A股,2013-09-30,2013-10-28,,42395.0,32908.0
3,中新苏州工业园区创业投资有限公司,115358465.0,8.27,流通A股,2013-09-30,2013-10-28,,42395.0,32908.0
4,HAPPY UNION INVESTMENT LIMITED,74031188.0,5.31,流通A股,2013-09-30,2013-10-28,,42395.0,32908.0
5,"HDF CO.,LTD",30967277.0,2.22,流通A股,2013-09-30,2013-10-28,,42395.0,32908.0
6,杜昆电子材料(昆山)有限公司,27761696.0,1.99,流通A股,2013-09-30,2013-10-28,,42395.0,32908.0
7,湖南中科岳麓创业投资有限公司,10161862.0,0.73,流通A股,2013-09-30,2013-10-28,,42395.0,32908.0
8,南充市宝林贸易有限责任公司,5985656.0,0.43,流通A股,2013-09-30,2013-10-28,,42395.0,32908.0
9,华润深国投信托有限公司-黄河8号信托计划,5920000.0,0.42,流通A股,2013-09-30,2013-10-28,,42395.0,32908.0
10,中国工商银行-诺安股票证券投资基金,5472461.0,0.39,流通A股,2013-09-30,2013-10-28,,42395.0,32908.0
1,杜昆电子材料（昆山）有限公司,27761696.0,1.99,流通A股,2013-09-24,2013-12-24,,,
,,,,,2013-09-24,2013-12-24,,,
,,,,,2013-09-24,2013-12-24,,,
,,,,,2013-09-24,2013-12-24,,,
1,"BIGGERING(BVI) HOLDINGS CO.,LTD.",382494786.0,27.42,限售流通股,2013-06-30,2013-08-06,,38265.0,36460.0
2,"WUS GROUP HOLDINGS CO.,LTD.",333139121.0,23.88,流通A股,2013-06-30,2013-08-06,,38265.0,36460.0
3,中新苏州工业园区创业投资有限公司,140667938.0,10.08,流通A股,2013-06-30,2013-08-06,,38265.0,36460.0
4,HAPPY UNION INVESTMENT LIMITED,74031188.0,5.31,限售流通股,2013-06-30,2013-08-06,,38265.0,36460.0
5,"HDF CO.,LTD",54176320.0,3.88,流通A股,2013-06-30,2013-08-06,,38265.0,36460.0
6,杜昆电子材料(昆山)有限公司,37015595.0,2.65,限售流通股,2013-06-30,2013-08-06,,38265.0,36460.0
7,湖南中科岳麓创业投资有限公司,10161862.0,0.73,流通A股,2013-06-30,2013-08-06,,38265.0,36460.0
8,蒋励,6388320.0,0.46,流通A股,2013-06-30,2013-08-06,,38265.0,36460.0
9,南充市宝林贸易有限责任公司,5985656.0,0.43,流通A股,2013-06-30,2013-08-06,,38265.0,36460.0
10,中国人民健康保险股份有限公司-传统-普通保险产品,4840128.0,0.35,流通A股,2013-06-30,2013-08-06,,38265.0,36460.0
1,"BIGGERING(BVI) HOLDINGS CO.,LTD.",318745655.0,27.42,限售流通股,2013-03-31,2013-04-23,,37506.0,30998.0
2,"WUS GROUP HOLDINGS CO.,LTD.",277615934.0,23.88,流通A股,2013-03-31,2013-04-23,,37506.0,30998.0
3,中新苏州工业园区创业投资有限公司,126667938.0,10.9,流通A股,2013-03-31,2013-04-23,,37506.0,30998.0
4,HAPPY UNION INVESTMENT LIMITED,61692657.0,5.31,限售流通股,2013-03-31,2013-04-23,,37506.0,30998.0
5,"HDF CO.,LTD",49318780.0,4.24,流通A股,2013-03-31,2013-04-23,,37506.0,30998.0
6,杜昆电子材料(昆山)有限公司,30846329.0,2.65,限售流通股,2013-03-31,2013-04-23,,37506.0,30998.0
7,湖南中科岳麓创业投资有限公司,10484218.0,0.9,流通A股,2013-03-31,2013-04-23,,37506.0,30998.0
8,全国社保基金一一一组合,6013007.0,0.52,流通A股,2013-03-31,2013-04-23,,37506.0,30998.0
9,蒋励,5673800.0,0.49,流通A股,2013-03-31,2013-04-23,,37506.0,30998.0
10,南充市宝林贸易有限责任公司,4784380.0,0.41,流通A股,2013-03-31,2013-04-23,,37506.0,30998.0
1,"HDF CO.,LTD.",57093500.0,4.91,流通A股,2013-01-15,2013-01-16,,,
,,,,,2013-01-15,2013-01-16,,,
,,,,,2013-01-15,2013-01-16,,,
,,,,,2013-01-15,2013-01-16,,,
1,"BIGGERING(BVI) HOLDINGS CO.,LTD.",318745655.0,27.42,限售流通股,2012-12-31,2013-03-07,,36086.0,32218.0
2,"WUS GROUP HOLDINGS CO.,LTD.",277615934.0,23.88,流通A股,2012-12-31,2013-03-07,,36086.0,32218.0
3,中新苏州工业园区创业投资有限公司,141912738.0,12.21,流通A股,2012-12-31,2013-03-07,,36086.0,32218.0
4,HAPPY UNION INVESTMENT LIMITED,61692657.0,5.31,限售流通股,2012-12-31,2013-03-07,,36086.0,32218.0
5,"HDF CO.,LTD",60144000.0,5.17,流通A股,2012-12-31,2013-03-07,,36086.0,32218.0
6,杜昆电子材料(昆山)有限公司,30846329.0,2.65,限售流通股,2012-12-31,2013-03-07,,36086.0,32218.0
7,湖南中科岳麓创业投资有限公司,10484218.0,0.9,流通A股,2012-12-31,2013-03-07,,36086.0,32218.0
8,全国社保基金一一一组合,7210574.0,0.62,流通A股,2012-12-31,2013-03-07,,36086.0,32218.0
9,蒋励,5833800.0,0.5,流通A股,2012-12-31,2013-03-07,,36086.0,32218.0
10,南充市宝林贸易有限责任公司,4784380.0,0.41,流通A股,2012-12-31,2013-03-07,,36086.0,32218.0
1,碧景控股,318745655.0,27.42,限售流通股,2012-06-30,2012-08-08,,38012.0,30585.0
2,沪士控股,277615934.0,23.88,流通A股,2012-06-30,2012-08-08,,38012.0,30585.0
3,中新创投,141912738.0,12.21,流通A股,2012-06-30,2012-08-08,,38012.0,30585.0
4,合拍有限,61692657.0,5.31,限售流通股,2012-06-30,2012-08-08,,38012.0,30585.0
5,"HDF CO.,LTD.",60144000.0,5.17,流通A股,2012-06-30,2012-08-08,,38012.0,30585.0
6,杜昆电子,30846329.0,2.65,限售流通股,2012-06-30,2012-08-08,,38012.0,30585.0
7,湖南中科岳麓创业投资有限公司,10484218.0,0.9,流通A股,2012-06-30,2012-08-08,,38012.0,30585.0
8,全国社保基金一一一组合,7703525.0,0.66,流通A股,2012-06-30,2012-08-08,,38012.0,30585.0
9,昆山市恒达建设项目咨询服务有限公司,6333600.0,0.54,流通A股,2012-06-30,2012-08-08,,38012.0,30585.0
10,苏州正信工程造价咨询事务所有限责任公司,6216000.0,0.53,流通A股,2012-06-30,2012-08-08,,38012.0,30585.0
1,"BIGGERING(BVI) HOLDINGS CO.,LTD.",227675468.0,27.42,限售流通股,2011-12-31,2012-03-06,,37611.0,22080.0
2,"WUS GROUP HOLDINGS CO.,LTD.",198297096.0,23.88,流通A股,2011-12-31,2012-03-06,,37611.0,22080.0
3,中新苏州工业园区创业投资有限公司,101366241.0,12.21,流通A股,2011-12-31,2012-03-06,,37611.0,22080.0
4,HAPPY UNION INVESTMENT LIMITED,44066184.0,5.31,限售流通股,2011-12-31,2012-03-06,,37611.0,22080.0
5,"HDF CO.,LTD.",42960000.0,5.17,流通A股,2011-12-31,2012-03-06,,37611.0,22080.0
6,杜昆电子材料(昆山)有限公司,22033092.0,2.65,限售流通股,2011-12-31,2012-03-06,,37611.0,22080.0
7,湖南中科岳麓创业投资有限公司,12288727.0,1.48,流通A股,2011-12-31,2012-03-06,,37611.0,22080.0
8,全国社保基金一一一组合,8600000.0,1.04,流通A股,2011-12-31,2012-03-06,,37611.0,22080.0
9,深圳中科汇商创业投资有限公司,5000000.0,0.6,流通A股,2011-12-31,2012-03-06,,37611.0,22080.0
10,昆山市爱派尔投资发展有限公司,4917000.0,0.59,流通A股,2011-12-31,2012-03-06,,37611.0,22080.0
1,"BIGGERING(BVI) HOLDINGS CO.,LTD.",227675468.0,27.42,限售流通股,2011-06-30,2011-08-05,,33243.0,24981.0
2,"WUS GROUP HOLDINGS CO.,LTD.",198297096.0,23.88,限售流通股,2011-06-30,2011-08-05,,33243.0,24981.0
3,中新苏州工业园区创业投资有限公司,101983641.0,12.28,限售流通股,2011-06-30,2011-08-05,,33243.0,24981.0
4,"HDF CO.,LTD",47640000.0,5.74,限售流通股,2011-06-30,2011-08-05,,33243.0,24981.0
5,HAPPY UNION INVESTMENT LIMITED,44066184.0,5.31,限售流通股,2011-06-30,2011-08-05,,33243.0,24981.0
6,杜昆电子材料(昆山)有限公司,22033092.0,2.65,限售流通股,2011-06-30,2011-08-05,,33243.0,24981.0
7,深圳中科汇商创业投资有限公司,22033092.0,2.65,限售流通股,2011-06-30,2011-08-05,,33243.0,24981.0
8,昆山经济技术开发区资产经营有限公司,17677165.0,2.13,限售流通股,2011-06-30,2011-08-05,,33243.0,24981.0
9,湖南中科岳麓创业投资有限公司,12288727.0,1.48,限售流通股,2011-06-30,2011-08-05,,33243.0,24981.0
