board_code,board_name,pe,pb,market_cap_yi,turnover_yi,change_pct
BK1201,电子,96.35,,210867.15,6403.7,-0.93
BK1283,银行,6.95,,152268.72,248.43,0.58
BK0475,银行Ⅱ,6.95,,152268.72,248.43,0.58
BK1036,半导体,189.41,,122184.69,3589.21,-3.26
BK1611,国有大型银行Ⅲ,7.57,,108737.98,77.39,0.47
BK1200,电力设备,51.61,,76524.88,1897.25,4.6
BK1215,通信,32.38,,73736.03,1709.05,0.95
BK1203,非银金融,10.7,,71983.98,463.24,1.37
BK1216,医药生物,46.26,,66571.63,1230.79,0.62
BK1205,机械设备,48.38,,60626.08,1342.17,2.27
BK0478,有色金属,21.03,,54514.5,1577.77,3.51
BK1331,数字芯片设计,126.6,,50548.07,1456.64,-3.17
BK0464,石油石化,14.61,,50482.55,212.13,3.6
BK1206,基础化工,35.3,,44446.72,1020.36,2.59
BK0427,公用事业,21.12,,43961.71,812.31,2.05
BK1211,汽车,27.64,,43083.33,514.94,2.16
BK0448,通信设备,87.12,,43037.76,1559.36,0.74
BK1207,计算机,153.15,,42960.23,1451.86,0.57
BK0428,电力,21.1,,41382.52,766.65,1.75
BK0438,食品饮料,20.88,,37934.9,260.79,0.64
BK1366,证券Ⅲ,15.55,,36766.38,316.91,1.32
BK0473,证券Ⅱ,15.55,,36766.38,316.91,1.32
BK1033,电池,30.38,,34315.12,706.99,4.28
BK1037,消费电子,38.4,,34194.05,741.44,0.57
BK1274,炼化及贸易,15.27,,31811.74,98.31,3.14
BK1591,通信网络设备及器件,89.43,,31588.0,1081.06,0.71
BK1210,交通运输,17.57,,31567.45,218.28,1.8
BK1338,消费电子零部件及组装,38.82,,31460.75,705.55,0.59
BK0736,通信服务,17.22,,30698.27,149.7,1.46
BK1569,炼油化工,14.71,,30432.78,69.91,2.15
BK1358,保险Ⅲ,7.34,,30190.51,95.02,0.75
BK0474,保险Ⅱ,7.34,,30190.51,95.02,0.75
BK1287,工业金属,16.06,,30090.72,687.23,4.07
BK0459,元件,73.97,,29396.37,1174.66,0.05
BK1204,国防军工,77.38,,28799.43,554.0,2.83
BK1610,股份制银行Ⅲ,5.67,,28357.41,91.71,0.51
BK1587,电信运营商,15.55,,27384.83,21.27,0.38
BK1340,印制电路板,76.64,,24475.77,899.93,-0.45
BK1575,白酒Ⅲ,19.42,,24413.39,125.8,-1.15
BK1277,白酒Ⅱ,19.42,,24413.39,125.8,-1.15
BK0481,汽车零部件,25.58,,24268.51,394.38,2.14
BK0465,化学制药,55.43,,24141.71,476.94,0.58
BK1303,锂电池,26.1,,24045.38,350.6,3.67
BK1329,集成电路制造,267.92,,23734.74,317.57,-5.32
BK0437,煤炭,20.46,,22770.73,143.48,1.84
BK1250,煤炭开采,19.38,,22252.95,134.88,1.69
BK1326,半导体设备,138.35,,21867.22,598.69,-4.58
BK0545,通用设备,83.97,,20997.17,557.82,1.88
