代码,简称,公告标题,公告时间,公告链接
002028,思源电气,<em>2025年</em><em>年度报告</em>,2026-04-18,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1225117829&orgId=gssz0002028&announcementTime=2026-04-18
002028,思源电气,<em>2025年</em><em>年度报告</em>摘要,2026-04-18,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1225117828&orgId=gssz0002028&announcementTime=2026-04-18
