board_code,board_name,pe,pb,market_cap_yi,turnover_yi,change_pct
BK0479,钢铁,71.41,,8298.45,79.53,-0.46
BK1613,铝,11.56,,8001.39,173.05,-0.45
BK1462,玻纤制造,102.27,,7918.13,359.84,-8.1
BK0454,塑料,90.76,,7847.22,322.74,-2.65
BK0739,工程机械,23.08,,7840.87,121.37,-1.48
BK1247,基础建设,10.2,,7722.67,65.41,-0.48
BK0421,铁路公路,16.25,,7672.65,34.98,0.68
BK1600,医疗研发外包,29.32,,7669.54,321.13,2.41
BK1327,分立器件,-130.96,,7637.53,365.17,0.27
BK1034,其他电源设备Ⅱ,73.4,,7551.32,236.03,-0.34
BK1235,环境治理,33.02,,7515.1,171.28,-0.34
BK1608,中药Ⅲ,26.01,,7495.35,116.31,0.39
BK1040,中药Ⅱ,26.01,,7495.35,116.31,0.39
BK1330,模拟芯片设计,1068.89,,7373.49,276.81,0.6
BK1472,基建市政工程,8.51,,7184.27,39.94,-0.13
BK0458,仪器仪表,147.49,,7094.88,209.76,-3.35
BK1339,被动元件,85.98,,6692.27,365.03,-4.45
BK1596,其他生物制品,83.49,,6579.24,176.57,1.6
BK1482,航运,12.97,,6499.57,88.62,1.33
BK0422,物流,26.97,,6363.13,76.59,0.63
BK0436,纺织服饰,27.52,,6216.4,131.47,-0.94
BK1403,能源及重型设备,41.36,,6002.08,159.71,-2.06
BK0420,航空机场,30.59,,5850.86,40.65,1.04
BK1311,输变电设备,39.2,,5658.42,138.22,-1.06
BK1605,医疗设备,38.47,,5635.1,110.6,-0.36
BK0732,贵金属,20.71,,5588.25,301.42,-1.94
BK1393,工程机械整机,18.51,,5553.8,79.87,-0.33
BK1336,其他电子Ⅲ,75.01,,5502.84,329.62,-0.42
BK1223,其他电子Ⅱ,75.01,,5502.84,329.62,-0.42
BK1346,住宅开发,-3.47,,5453.14,121.86,0.36
BK1383,航海装备Ⅲ,32.46,,5396.07,109.46,1.44
BK1230,航海装备Ⅱ,32.46,,5396.07,109.46,1.44
BK1328,集成电路封测,114.06,,5354.37,516.83,1.9
BK1428,其他化学制品,107.57,,5300.45,175.7,-1.27
BK1407,工控设备,59.52,,5269.48,189.72,-2.76
BK1015,能源金属,30.34,,5181.72,228.95,0.51
BK1322,其他电源设备Ⅲ,122.25,,5167.86,196.25,-0.31
BK1259,养殖业,109.84,,5166.83,110.05,3.27
BK0738,多元金融,20.17,,5043.07,45.56,-0.37
BK1445,安防设备,24.82,,5040.52,72.77,-2.45
BK1525,车身附件及饰件,19.56,,5026.8,106.13,-1.99
BK1309,电网自动化设备,32.59,,5019.83,101.59,-2.94
BK1288,金属新材料,92.61,,5015.21,232.31,-4.87
BK1448,横向通用软件,234.83,,4961.9,91.41,-1.35
BK1226,普钢,-391.95,,4945.41,34.96,0.06
BK1320,逆变器,29.48,,4922.96,106.01,-1.24
BK1214,社会服务,50.4,,4840.39,96.47,-0.52
BK1529,汽车电子电气系统,37.3,,4829.52,133.8,-2.64
BK1481,港口,12.27,,4827.56,18.86,1.1
BK1376,核力发电,22.91,,4814.06,12.85,-0.16
BK1398,其他通用设备,93.77,,4770.99,254.54,-0.43
BK1624,其他小金属,65.67,,4722.05,217.74,-2.9
BK1385,航天装备Ⅲ,505.05,,4657.75,141.57,-4.82
BK1232,航天装备Ⅱ,505.05,,4657.75,141.57,-4.82
BK0440,家居用品,38.54,,4629.76,65.89,-0.87
BK1479,航空运输,32.02,,4562.09,33.93,1.12
BK1617,黄金,19.56,,4546.67,229.78,-2.66
BK1334,光学元件,270.2,,4537.66,261.52,-3.86
BK1367,板材,14540.92,,4519.73,30.41,0.21
