board_code,board_name,board_pe,board_market_cap_yi,board_change_pct,quality_hit_count,quality_hit_names,quality_hit_median_pe,quality_hit_median_pb
BK1610,股份制银行Ⅲ,5.67,28357.41,0.51,2,招商银行、兴业银行,6.48,0.89
BK1609,城商行Ⅲ,5.98,12614.8,0.63,1,宁波银行,6.43,0.93
BK1283,银行,6.95,152268.72,0.58,5,工商银行、建设银行、招商银行、兴业银行、宁波银行,6.48,0.77
BK0475,银行Ⅱ,6.95,152268.72,0.58,5,工商银行、建设银行、招商银行、兴业银行、宁波银行,6.48,0.77
BK1358,保险Ⅲ,7.34,30190.51,0.75,3,中国人寿、中国平安、中国太保,9.82,1.02
BK0474,保险Ⅱ,7.34,30190.51,0.75,3,中国人寿、中国平安、中国太保,9.82,1.02
BK1611,国有大型银行Ⅲ,7.57,108737.98,0.47,2,工商银行、建设银行,7.87,0.77
BK1203,非银金融,10.7,71983.98,1.37,4,中国人寿、中国平安、东方财富、中国太保,15.12,2.03
BK1450,空调,11.89,9109.93,0.49,2,美的集团、格力电器,12.75,3.13
BK1239,白色家电,13.64,11494.95,0.48,3,美的集团、格力电器、海尔智家,11.02,1.64
BK1489,快递,14.59,2797.94,-0.54,1,顺丰控股,17.67,1.81
BK1366,证券Ⅲ,15.55,36766.38,1.32,1,东方财富,21.46,3.4
BK0473,证券Ⅱ,15.55,36766.38,1.32,1,东方财富,21.46,3.4
BK1587,电信运营商,15.55,27384.83,0.38,1,中国移动,17.45,1.44
BK1287,工业金属,16.06,30090.72,4.07,1,紫金矿业,10.95,4.64
BK0736,通信服务,17.22,30698.27,1.46,1,中国移动,17.45,1.44
BK1615,铜,17.38,19208.51,3.24,1,紫金矿业,10.95,4.64
BK1210,交通运输,17.57,31567.45,1.8,1,顺丰控股,17.67,1.81
BK1577,啤酒,17.8,1546.83,1.01,1,重庆啤酒,12.3,17.26
BK0456,家用电器,17.81,19469.1,1.71,6,美的集团、格力电器、海尔智家、三花智控、石头科技、老板电器,12.75,1.84
BK1493,动力煤,18.18,20174.29,1.52,3,中国神华、陕西煤业、兖矿能源,14.54,2.62
BK1429,食品及饲料添加剂,18.18,2413.93,1.56,1,金禾实业,28.32,1.39
BK1393,工程机械整机,19.01,5705.06,3.64,1,三一重工,18.5,2.06
BK1250,煤炭开采,19.38,22252.95,1.69,3,中国神华、陕西煤业、兖矿能源,14.54,2.62
BK1575,白酒Ⅲ,19.42,24413.39,-1.15,4,贵州茅台、山西汾酒、泸州老窖、洋河股份,8.45,3.33
BK1277,白酒Ⅱ,19.42,24413.39,-1.15,4,贵州茅台、山西汾酒、泸州老窖、洋河股份,8.45,3.33
BK1426,聚氨酯,19.49,2676.61,3.67,1,万华化学,15.89,2.2
BK1585,乳品,19.97,2497.62,0.98,1,伊利股份,7.98,3.2
BK0437,煤炭,20.46,22770.73,1.84,3,中国神华、陕西煤业、兖矿能源,14.54,2.62
BK1380,水力发电,20.64,12774.78,-0.98,3,长江电力、华能水电、国投电力,26.18,2.82
BK0438,食品饮料,20.88,37934.9,0.64,8,贵州茅台、海天味业、伊利股份、山西汾酒、泸州老窖、东鹏饮料、洋河股份、重庆啤酒,12.3,4.94
BK1282,饮料乳品,20.93,4205.51,0.94,2,伊利股份、东鹏饮料,18.71,4.94
BK0478,有色金属,21.03,54514.5,3.51,1,紫金矿业,10.95,4.64
BK0428,电力,21.1,41382.52,1.75,3,长江电力、华能水电、国投电力,26.18,2.82
BK0427,公用事业,21.12,43961.71,2.05,3,长江电力、华能水电、国投电力,26.18,2.82
BK1279,非白酒,21.83,2115.4,0.33,1,重庆啤酒,12.3,17.26
BK0731,农化制品,22.5,9112.53,3.25,1,华鲁恒升,13.19,1.75
BK1586,软饮料,22.52,1707.89,0.84,1,东鹏饮料,18.71,4.94
BK0739,工程机械,22.68,7704.0,3.33,1,三一重工,18.5,2.06
BK1459,清洁小家电,22.68,975.8,1.98,1,石头科技,20.12,1.84
BK1244,小家电,23.27,1879.37,2.15,1,石头科技,20.12,1.84
BK1445,安防设备,24.45,4949.08,1.06,2,海康威视、大华股份,29.47,4.14
BK1292,广告媒体,25.03,813.69,1.3,1,分众传媒,10.39,5.86
BK1303,锂电池,26.1,24045.38,3.67,1,宁德时代,21.53,5.46
