股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
002463,2023-12-31,按行业分类,印制电路板,8571873507,0.959004,5789386083.0,0.941026,2782487424.0,0.998701,0.324607
002463,2023-12-31,按行业分类,其他(补充),358497307,0.040108,355344092.0,0.057759,3153215.0,0.001132,0.008796
002463,2023-12-31,按行业分类,房屋销售收入,6701418,0.00075,,,,,
002463,2023-12-31,按行业分类,物业费收入,1237018,0.000138,,,,,
002463,2023-12-31,按产品分类,产品销售收入(印制电路板业务),8571873507,0.959004,5789386083.0,0.941026,2782487424.0,0.998701,0.324607
002463,2023-12-31,按产品分类,其他(补充),358497307,0.040108,355344092.0,0.057759,3153215.0,0.001132,0.008796
002463,2023-12-31,按产品分类,房屋销售收入,6701418,0.00075,6441837.0,0.001047,259581.0,9.3e-05,0.038735
002463,2023-12-31,按产品分类,物业费收入,1237018,0.000138,1031370.0,0.000168,205648.0,7.4e-05,0.166245
002463,2023-12-31,按产品分类,其中:销售材料,353345360,0.039532,350336487.0,0.056945,3008873.0,0.00108,0.008515
002463,2023-12-31,按产品分类,其中:租金收入,5151947,0.000576,5007605.0,0.000814,144342.0,5.2e-05,0.028017
002463,2023-12-31,按地区分类,外销,7217521744,0.807482,4702211533.0,0.764313,2515310211.0,0.902805,0.348501
002463,2023-12-31,按地区分类,内销,1354351763,0.151522,1087174550.0,0.176713,267177213.0,0.095896,0.197273
002463,2023-12-31,按地区分类,其他(补充),358497307,0.040108,355344092.0,0.057759,3153215.0,0.001132,0.008796
002463,2023-06-30,按行业分类,PCB业务收入,3581513021,0.951651,2470004077.0,0.932581,1111508944.0,0.996954,0.310346
002463,2023-06-30,按行业分类,其他(补充),174981815,0.046495,172579009.0,0.065159,2402806.0,0.002155,0.013732
002463,2023-06-30,按行业分类,房屋销售收入,6520443,0.001733,5478925.0,0.002069,1041518.0,0.000934,0.159731
002463,2023-06-30,按行业分类,物业费收入,458183,0.000122,506091.0,0.000191,-47908.0,-4.3e-05,-0.104561
002463,2023-06-30,按产品分类,印制电路板业务,3581513021,0.951651,2470004077.0,0.932581,1111508944.0,0.996954,0.310346
002463,2023-06-30,按产品分类,其他(补充),174981815,0.046495,172579009.0,0.065159,2402806.0,0.002155,0.013732
002463,2023-06-30,按产品分类,房屋销售收入,6520443,0.001733,5478925.0,0.002069,1041518.0,0.000934,0.159731
002463,2023-06-30,按产品分类,物业费收入,458183,0.000122,506091.0,0.000191,-47908.0,-4.3e-05,-0.104561
002463,2023-06-30,按产品分类,其中:销售材料,172391609,0.045807,170305490.0,0.064301,2086119.0,0.001871,0.012101
002463,2023-06-30,按产品分类,其中:租金收入,2590206,0.000688,2273519.0,0.000858,316687.0,0.000284,0.122263
002463,2023-06-30,按地区分类,外销,3032648289,0.805811,2058604884.0,0.777252,974043405.0,0.873656,0.321186
002463,2023-06-30,按地区分类,内销,548864732,0.14584,411399193.0,0.155329,137465539.0,0.123298,0.250454
002463,2023-06-30,按地区分类,其他(补充),174981815,0.046495,172579009.0,0.065159,2402806.0,0.002155,0.013732
002463,2022-12-31,按行业分类,印制电路板,7930533226,0.951356,5415166806.0,0.931785,2515366420.0,0.996412,0.317175
002463,2022-12-31,按行业分类,其他(补充),378975118,0.045462,375001455.0,0.064526,3973663.0,0.001574,0.010485
002463,2022-12-31,按行业分类,房屋销售收入,25583310,0.003069,,,,,
002463,2022-12-31,按行业分类,物业费收入,938504,0.000113,,,,,
002463,2022-12-31,按产品分类,产品销售收入(印制电路板业务),7930533226,0.951356,5415166806.0,0.931785,2515366420.0,0.996412,0.317175
002463,2022-12-31,按产品分类,其他(补充),378975118,0.045462,375001455.0,0.064526,3973663.0,0.001574,0.010485
002463,2022-12-31,按产品分类,房屋销售收入,25583310,0.003069,20641916.0,0.003552,4941394.0,0.001957,0.193149
002463,2022-12-31,按产品分类,物业费收入,938504,0.000113,797005.0,0.000137,141499.0,5.6e-05,0.150771
002463,2022-12-31,按产品分类,其中:销售材料,375458736,0.04504,371847256.0,0.063984,3611480.0,0.001431,0.009619
002463,2022-12-31,按产品分类,其中:租金收入,3516382,0.000422,3154199.0,0.000543,362183.0,0.000143,0.102999
002463,2022-12-31,按地区分类,外销,6294428576,0.755087,4183220924.0,0.719804,2111207652.0,0.836313,0.335409
002463,2022-12-31,按地区分类,内销,1636104650,0.196269,1231945882.0,0.21198,404158768.0,0.160099,0.247025
002463,2022-12-31,按地区分类,其他(补充),378975118,0.045462,375001455.0,0.064526,3973663.0,0.001574,0.010485
002463,2022-06-30,按行业分类,产品销售收入(印制电路板业务),3531450263,0.945316,2443685323.0,0.923738,1087764940.0,0.997672,0.308022
002463,2022-06-30,按行业分类,销售材料,202288869,0.05415,200050386.0,0.075621,2238483.0,0.002053,0.011066
002463,2022-06-30,按行业分类,租金收入,1639671,0.000439,1329730.0,0.000503,309941.0,0.000284,0.189026
002463,2022-06-30,按行业分类,物业费收入,354884,9.5e-05,365413.0,0.000138,-10529.0,-1e-05,-0.029669
002463,2022-06-30,按产品分类,产品销售收入(印制电路板业务),3531450263,0.945316,2443685323.0,0.923738,1087764940.0,0.997672,0.308022
002463,2022-06-30,按产品分类,销售材料,202288869,0.05415,200050386.0,0.075621,2238483.0,0.002053,0.011066
002463,2022-06-30,按产品分类,租金收入,1639671,0.000439,1329730.0,0.000503,309941.0,0.000284,0.189026
002463,2022-06-30,按产品分类,物业费收入,354884,9.5e-05,365413.0,0.000138,-10529.0,-1e-05,-0.029669
002463,2022-06-30,按地区分类,外销,2746905970,0.735306,1879276962.0,0.710386,867629008.0,0.795769,0.315857
002463,2022-06-30,按地区分类,内销,784544293,0.210011,564408361.0,0.213352,220135932.0,0.201903,0.280591
002463,2022-06-30,按地区分类,其他(补充),203928540,0.054589,201380116.0,0.076124,2548424.0,0.002337,0.012497
002463,2021-12-31,按行业分类,印制电路板产品,7058391131,0.951431,5046960119.0,0.93416,2011431012.0,0.997714,0.28497
002463,2021-12-31,按行业分类,材料销售,353912869,0.047705,,,,,
002463,2021-12-31,按行业分类,租金收入,3884832,0.000524,,,,,
002463,2021-12-31,按行业分类,房屋销售,1724771,0.000232,,,,,
002463,2021-12-31,按行业分类,物业服务,796444,0.000107,,,,,
002463,2021-12-31,按产品分类,产品销售收入(印制电路板业务),7058391131,0.951431,5046960119.0,0.93416,2011431012.0,0.997714,0.28497
002463,2021-12-31,按产品分类,销售材料,353912869,0.047705,351513917.0,0.065063,2398952.0,0.00119,0.006778
002463,2021-12-31,按产品分类,租金收入,3884832,0.000524,2720405.0,0.000504,1164427.0,0.000578,0.299737
002463,2021-12-31,按产品分类,房屋销售收入,1724771,0.000232,788521.0,0.000146,936250.0,0.000464,0.542826
002463,2021-12-31,按产品分类,物业费收入,796444,0.000107,687759.0,0.000127,108685.0,5.4e-05,0.136463
002463,2021-12-31,按地区分类,外销,4780477399,0.644381,3344443316.0,0.619035,1436034083.0,0.712305,0.300396
002463,2021-12-31,按地区分类,内销,2277913732,0.30705,1702516803.0,0.315125,575396929.0,0.28541,0.252598
002463,2021-12-31,按地区分类,其他(补充),357797701,0.048229,354234322.0,0.065567,3563379.0,0.001768,0.009959
002463,2021-06-30,按行业分类,PCB业务收入,3397778404,0.959219,2394111859.0,0.943662,1003666545.0,0.998486,0.295389
002463,2021-06-30,按行业分类,其他(补充),144019740,0.040658,142570007.0,0.056195,1449733.0,0.001442,0.010066
002463,2021-06-30,按行业分类,物业费收入,434762,0.000123,,,,,
002463,2021-06-30,按产品分类,企业通讯市场板,2256676958,0.637078,1550939552.0,0.611317,705737406.0,0.702095,0.312733
002463,2021-06-30,按产品分类,汽车板,899285885,0.253875,677037119.0,0.266861,222248766.0,0.221102,0.247139
002463,2021-06-30,按产品分类,办公及工业设备板,230422986,0.06505,157419652.0,0.062048,73003334.0,0.072627,0.316823
002463,2021-06-30,按产品分类,其他(补充),144019740,0.040658,142570007.0,0.056195,1449733.0,0.001442,0.010066
002463,2021-06-30,按产品分类,消费电子板,7202979,0.002033,5502531.0,0.002169,1700448.0,0.001692,0.236076
002463,2021-06-30,按产品分类,其他,4189596,0.001183,3213005.0,0.001266,976591.0,0.000972,0.233099
002463,2021-06-30,按地区分类,外销,2283033555,0.644518,1579633341.0,0.622627,703400214.0,0.699769,0.308099
002463,2021-06-30,按地区分类,内销,1114744849,0.314701,814478518.0,0.321034,300266331.0,0.298716,0.269359
002463,2021-06-30,按地区分类,其他(补充),144019740,0.040658,142570007.0,0.056195,1449733.0,0.001442,0.010066
002463,2020-12-31,按行业分类,印制电路板,7264614998,0.973806,,,,,
002463,2020-12-31,按行业分类,其他(补充),194606339,0.026087,192223758.0,0.037004,2382581.0,0.001052,0.012243
002463,2020-12-31,按行业分类,房屋销售及物业,802973,0.000108,,,,,
002463,2020-12-31,按产品分类,产品销售收入(印制电路板业务),7264614998,0.973806,5001850260.0,0.962878,2262764738.0,0.998864,0.311478
002463,2020-12-31,按产品分类,销售材料,190773539,0.025573,189860509.0,0.036549,913030.0,0.000403,0.004786
002463,2020-12-31,按产品分类,租金收入,3832800,0.000514,2363249.0,0.000455,1469551.0,0.000649,0.383414
002463,2020-12-31,按产品分类,物业费收入,802973,0.000108,612849.0,0.000118,190124.0,8.4e-05,0.236775
002463,2020-12-31,按地区分类,外销,3867135066,0.518381,2526096649.0,0.486285,1341038417.0,0.591982,0.346778
002463,2020-12-31,按地区分类,内销,3397479932,0.455425,2475753611.0,0.476593,921726321.0,0.406883,0.271297
002463,2020-12-31,按地区分类,其他(补充),194606339,0.026087,192223758.0,0.037004,2382581.0,0.001052,0.012243
002463,2020-06-30,按行业分类,印制电路板业务,3447213190,0.975556,2341838249.0,0.965015,1105374941.0,0.998667,0.320658
002463,2020-06-30,按行业分类,销售材料,83879085,0.023738,83474620.0,0.034398,404465.0,0.000365,0.004822
002463,2020-06-30,按行业分类,租金收入,2074816,0.000587,1108104.0,0.000457,966712.0,0.000873,0.465927
002463,2020-06-30,按行业分类,物业费收入,421579,0.000119,317095.0,0.000131,104484.0,9.4e-05,0.24784
002463,2020-06-30,按产品分类,企业通讯市场板,2637634325,0.746446,1754674196.0,0.723059,882960129.0,0.797723,0.334755
002463,2020-06-30,按产品分类,汽车板,559234445,0.158262,420418007.0,0.173244,138816438.0,0.125416,0.248226
002463,2020-06-30,按产品分类,办公及工业设备板,236146431,0.066829,156058613.0,0.064308,80087818.0,0.072356,0.339145
002463,2020-06-30,按产品分类,其他(补充),85953901,0.024325,84582724.0,0.034854,1371177.0,0.001239,0.015952
002463,2020-06-30,按产品分类,消费电子板,10125506,0.002866,7644297.0,0.00315,2481209.0,0.002242,0.245045
002463,2020-06-30,按产品分类,其他,4072483,0.001153,3043136.0,0.001254,1029347.0,0.00093,0.252757
002463,2020-06-30,按地区分类,外销,1774789395,0.502263,1146994771.0,0.472649,627794624.0,0.56719,0.353729
002463,2020-06-30,按地区分类,内销,1672423795,0.473293,1194843478.0,0.492366,477580317.0,0.431477,0.285562
002463,2020-06-30,按地区分类,其他(补充),85953901,0.024325,84582724.0,0.034854,1371177.0,0.001239,0.015952
002463,2019-12-31,按行业分类,PCB,6884811490,0.965809,4790316990.0,0.953528,2094494500.0,0.995122,0.30422
002463,2019-12-31,按行业分类,其他(补充),180332271,0.025297,178333966.0,0.035498,1998305.0,0.000949,0.011081
002463,2019-12-31,按行业分类,平衡项目,63400821,0.008894,55132693.0,0.010974,8268128.0,0.003928,0.13041
002463,2019-12-31,按产品分类,企业通讯市场板,5101998825,0.715714,3495369273.0,0.695764,1606629552.0,0.763331,0.314902
002463,2019-12-31,按产品分类,汽车板,1328025096,0.186297,986819342.0,0.19643,341205754.0,0.162111,0.256927
002463,2019-12-31,按产品分类,办公及工业设备板,418535201,0.058713,280833718.0,0.055901,137701483.0,0.065424,0.329008
002463,2019-12-31,按产品分类,其他(补充),180332271,0.025297,178333966.0,0.035498,1998305.0,0.000949,0.011081
002463,2019-12-31,按产品分类,平衡项目,63400821,0.008894,55132693.0,0.010974,8268128.0,0.003928,0.13041
002463,2019-12-31,按产品分类,消费电子板,24537608,0.003442,18526933.0,0.003688,6010675.0,0.002856,0.244958
002463,2019-12-31,按产品分类,其他,11714760,0.001643,8767724.0,0.001745,2947036.0,0.0014,0.251566
