序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
4719,000828,东莞控股,823505964.25,-13.79,1551933747.48,-8.2751956046,497281310.3,,106011265.35,11485058.49,629659969.03,973949527.75,984389876.97,2026-03-28
4959,601126,四方股份,828970422.18,15.84,8193310113.95,17.8735031925,5716993593.17,552564058.26,299727153.33,-47075884.45,7289361833.34,919572772.18,932068552.41,2026-03-24
