序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
499,601126,四方股份,3781954632.22,1449451300.85,2325246777.1,12705127033.69,15.0228965383,2963566198.54,,7808950596.31,20.7591061626,61.4629871516,4896176437.38,2026-04-30
1502,600657,信达地产,9394445154.62,2480040812.29,32141077431.01,76599481343.47,0.2160112642,2515625562.42,48619615.13,57564521383.42,13.9934778976,75.1500145612,19034959960.05,2026-04-29
