year,revenue,parent,deduct,ocf,capex,fcf,gross,net,op,roe,roa,debt,cash
2021,139.4494827025,5.6828077190999995,4.9711903898,16.796623938699998,5.2144435133,11.582180425399997,43.7205442989,5.8884826039,6.436467423080005,6.8,4.4005181995,45.6220268299,42.8424028788
2022,129.5932053356,6.2779482871,5.5266027979,28.556331051599997,3.0744021211000003,25.481928930499997,38.0788328729,6.6939078875,7.4551370691700685,7.09,4.4830908882,38.0921681246,61.4819623213
2023,120.69930213379999,6.9188049568,6.8315137216999995,17.2037378804,3.571937922,13.631799958399998,38.3259636808,7.9918501361,8.961336758359822,6.02,4.9489260724,25.9094439468,59.7261123069
2024,109.37525114430001,10.8362288188,10.4328467764,22.559806957800003,2.1977290159000002,20.362077941900004,39.2438941786,12.1789865286,16.017549629291068,8.45,6.7776726325,23.2197161948,62.119414670299996
2025,93.63074210110001,9.416016860900001,8.4918243015,16.9808905333,2.6382623902,14.342628143099999,32.4252600651,12.1986176509,14.028671054445995,6.97,5.8299865724,17.590628075,40.058977983000005
