来源,时间,价格,总市值,PE,PB,备注
腾讯行情 qt.gtimg.cn,2026-07-08 16:14:55,8.70,116.68亿,16.24,0.85,原始行情串已保存
新浪行情 hq.sinajs.cn,2026-07-08 15:34:59,8.70,未提供，按股本复算116.68亿,自行复算16.24,自行复算0.84,原始行情串已保存
