股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
300760,2023-06-30,按产品分类,生命信息与支持类产品,8667049730,0.469103,2845979901.0,0.447747,5821069829.0,0.480304,0.671632
300760,2023-06-30,按产品分类,体外诊断类产品,5974810808,0.323386,2232777810.0,0.351274,3742032998.0,0.30876,0.626302
300760,2023-06-30,按产品分类,医学影像类产品,3701207949,0.200328,1193186787.0,0.187719,2508021162.0,0.20694,0.677622
300760,2023-06-30,按产品分类,其他产品,110799456,0.005997,69841663.0,0.010988,40957793.0,0.003379,0.369657
300760,2023-06-30,按产品分类,其他(补充),21905553,0.001186,14441776.0,0.002272,7463777.0,0.000616,0.340725
300760,2022-12-31,按行业分类,医疗器械行业,30353816536,0.999611,10876646411.0,0.999206,19477170125.0,0.999837,0.641671
300760,2022-12-31,按行业分类,其他(补充),11827275,0.000389,8643047.0,0.000794,3184228.0,0.000163,0.269228
300760,2022-12-31,按产品分类,生命信息与支持类产品,13401383078,0.441334,4511661219.0,0.414473,8889721859.0,0.456343,0.663344
300760,2022-12-31,按产品分类,体外诊断类产品,10255567391,0.337736,4065892426.0,0.373522,6189674965.0,0.317739,0.603543
300760,2022-12-31,按产品分类,医学影像类产品,6463759079,0.212864,2171580492.0,0.199497,4292178587.0,0.220334,0.664038
300760,2022-12-31,按产品分类,其他类产品,233106988,0.007677,127512274.0,0.011714,105594714.0,0.005421,0.452988
300760,2022-12-31,按产品分类,其他(补充),11827275,0.000389,8643047.0,0.000794,3184228.0,0.000163,0.269228
300760,2022-12-31,按地区分类,境内,18667314930,0.614751,,,,,
300760,2022-12-31,按地区分类,境外,11698328881,0.385249,,,,,
300760,2022-06-30,按产品分类,生命信息与支持类产品,6771726650,0.440995,2319404888.0,0.421096,4452321762.0,0.452125,0.657487
300760,2022-06-30,按产品分类,体外诊断类产品,5142928696,0.334923,1989238534.0,0.361153,3153690162.0,0.320251,0.613209
300760,2022-06-30,按产品分类,医学影像类产品,3263891740,0.212554,1114046381.0,0.202259,2149845359.0,0.218313,0.658675
300760,2022-06-30,按产品分类,其他产品,171806433,0.011189,82822750.0,0.015037,88983683.0,0.009036,0.51793
300760,2022-06-30,按产品分类,其他(补充),5222560,0.00034,2511745.0,0.000456,2710815.0,0.000275,0.519059
300760,2022-06-30,按地区分类,境内,9276777650,0.604131,,,,,
300760,2022-06-30,按地区分类,其他,1397366609,0.091001,,,,,
300760,2022-06-30,按地区分类,亚太,1282934670,0.083548,,,,,
300760,2022-06-30,按地区分类,北美,1259724790,0.082037,,,,,
300760,2022-06-30,按地区分类,拉丁美洲,1111943110,0.072413,,,,,
300760,2022-06-30,按地区分类,欧洲,1026829250,0.06687,,,,,
300760,2021-12-31,按行业分类,医疗器械行业,25257849416,0.999536,8834784368.0,0.999103,16423065048.0,0.999769,0.650216
300760,2021-12-31,按行业分类,其他(补充),11731402,0.000464,7930848.0,0.000897,3800554.0,0.000231,0.323964
300760,2021-12-31,按产品分类,生命信息与支持类产品,11153472647,0.441379,3748214644.0,0.423876,7405258003.0,0.450802,0.663942
300760,2021-12-31,按产品分类,体外诊断类产品,8448626617,0.33434,3167337367.0,0.358186,5281289250.0,0.321503,0.625106
300760,2021-12-31,按产品分类,医学影像类产品,5425521471,0.214706,1826192735.0,0.206519,3599328736.0,0.219112,0.663407
300760,2021-12-31,按产品分类,其他类产品,230228681,0.009111,,,,,
300760,2021-12-31,按产品分类,其他(补充),11731402,0.000464,7930848.0,0.000897,3800554.0,0.000231,0.323964
300760,2021-12-31,按地区分类,境内,15259206960,0.603857,,,,,
300760,2021-12-31,按地区分类,境外,10010373858,0.396143,,,,,
300760,2021-06-30,按产品分类,生命信息与支持类产品,6020960203,0.471185,1971902880.0,0.448221,4049057323.0,0.483242,0.672494
300760,2021-06-30,按产品分类,体外诊断类产品,3961652494,0.310029,1497542584.0,0.340397,2464109910.0,0.294084,0.62199
300760,2021-06-30,按产品分类,医学影像类产品,2670847593,0.209014,886042292.0,0.201401,1784805301.0,0.213011,0.668254
300760,2021-06-30,按产品分类,其他产品,120709819,0.009446,,,,,
300760,2021-06-30,按产品分类,其他(补充),4177524,0.000327,3665102.0,0.000833,512422.0,6.1e-05,0.122662
300760,2021-06-30,按地区分类,境内,7615427370,0.595963,,,,,
300760,2021-06-30,按地区分类,欧洲,1247307790,0.097611,,,,,
300760,2021-06-30,按地区分类,亚太,1101856900,0.086228,,,,,
300760,2021-06-30,按地区分类,其他,1025411073,0.080246,,,,,
300760,2021-06-30,按地区分类,北美,920397310,0.072028,,,,,
300760,2021-06-30,按地区分类,拉丁美洲,867947190,0.067923,,,,,
300760,2020-12-31,按行业分类,医疗器械行业,20980954301,0.997865,7349771731.0,0.997784,13631182570.0,0.997908,0.649693
300760,2020-12-31,按行业分类,其他(补充),44892088,0.002135,16322496.0,0.002216,28569592.0,0.002092,0.636406
300760,2020-12-31,按产品分类,生命信息与支持类产品,10005956348,0.475888,3204059496.0,0.434974,6801896852.0,0.497952,0.679785
300760,2020-12-31,按产品分类,体外诊断类产品,6646100248,0.316092,2676555175.0,0.363362,3969545073.0,0.290602,0.597274
300760,2020-12-31,按产品分类,医学影像类产品,4196331457,0.19958,1419066459.0,0.192648,2777264998.0,0.203317,0.661832
300760,2020-12-31,按产品分类,其他类产品,132566248,0.006305,,,,,
300760,2020-12-31,按产品分类,其他(补充),44892088,0.002135,16322496.0,0.002216,28569592.0,0.002092,0.636406
300760,2020-12-31,按地区分类,境内,11110186370,0.528406,,,,,
300760,2020-12-31,按地区分类,境外,9915660019,0.471594,,,,,
