year,revenue_bn,gross_margin,parent_np_bn,deduct_np_bn,net_margin,cfo_bn,capex_bn,fcf_bn,total_assets_bn,liabilities_bn,debt_ratio,cash_bn,inventory_bn,ar_bn,eps,roe_weighted,revenue_bn_yoy,parent_np_bn_yoy,deduct_np_bn_yoy,cfo_bn_yoy,fcf_bn_yoy
2021,25.269580818,0.6500648238018588,8.001553606,7.850417234,0.31664765884443724,8.998649175,1.402493907,7.596155268,38.10302299,11.134976999,0.29223342730371643,15.361062758,3.565329699,1.658675548,6.5868,,,,,,
2022,30.365643811,0.6415261429742257,9.607174094,9.525117528,0.3163830200273833,12.141147876,1.915528356,10.22561952,46.745236809,14.746124646,0.31545726693507486,23.185663305,4.024915834,2.658711527,7.9402,,0.20166788795206214,0.20066359197993977,0.21332627860171627,0.3492189371856469,0.34615725445700574
2023,34.931900884,0.641784850399268,11.582226085,11.433734957,0.33156586935997673,11.062025295,2.68866799,8.373357305,47.940003061,14.593963297,0.30442140936933804,18.787180188,3.97863158,3.295124769,9.5586,,0.1503757701111499,0.20558095145100852,0.20037731013705984,-0.08888142966557178,-0.18113936386711949
2024,36.725749548,0.631116599368691,11.668487164,11.442036083,0.31771951036014834,12.432041281,1.959448254,10.472593027,56.643545143,15.885367579,0.2804444449742057,16.644066286,4.757425283,3.219300494,9.6356,,0.05135273542533292,0.00744771155103896,0.0007260205025931832,0.12384856746072015,0.2507041853745424
2025,33.282159404,0.6031556122403338,8.135775409,8.068550808,0.2444485440455587,10.144968535,2.037744137,8.107224398,59.266767707,16.255447654,0.274275927014661,17.690372308,5.00371748,3.408119891,6.7147,,-0.09376500647044073,-0.30275662177520646,-0.2948326023907716,-0.18396598710586276,-0.2258627469721879
