date,revenue,net_profit,eps,roe,gross_margin,ocf,total_assets,total_liab,debt_ratio,equity,cash,inventory,ar
20260331,1518934346.19,235825663.52,0.1759,3.91,30.449946609,-379324955.09,14057615948.54,7423377714.64,52.8068040969,6634238233.9,4009424992.75,4618270083.09,1725019350.92
20251231,8377482887.4,911992429.9,0.6802,16.5,32.2444506617,808247051.74,14015967687.49,7607038265.97,54.2740853545,6408929421.52,4559246359.87,4166383818.32,1821560145.15
20241231,7544804479.9,683908676.75,0.5101,14.05,33.7060489983,1040083355.67,12629803106.77,7022808534.22,55.6050515978,5606994572.55,4120516405.45,3824736041.11,1542839605.9
20231231,6478071293.63,541303704.72,0.4037,12.41,33.4490620505,1258969916.49,11142334524.63,6112118156.64,54.8549152166,5030216367.99,3311601904.87,3641667229.55,1469465333.62
20221231,5460252756.91,438427400.58,0.327,11.01,32.127498504,412553289.32,9563718141.46,5001426571.24,52.2958382636,4562291570.22,2408955529.34,3158552588.0,1272144059.95
20211231,4485560201.59,347780352.43,0.26,9.48,33.0728886154,202073083.31,8056696372.77,3850121985.06,47.7878500929,4206574387.71,2165134975.77,2316705494.95,1125162560.07
20201231,3757268060.58,282473241.75,0.2107,8.36,34.3350443192,321577435.67,6944534462.62,3107687606.3,44.750121452,3836846856.32,2082438511.65,1751236701.53,1079255149.42
