常用指标,每股净资产,3.48285,3.506026,3.542108,3.530503,3.734262,3.532269,3.450058,3.530216,3.880465,3.737904,3.666154,3.749051,3.846446,3.719982,3.699271,3.819166,3.796389,3.751058,3.875793,3.796042,3.487389,3.430758,3.407587,3.408271,3.405161,3.165216,3.078141,3.029332,3.039415,3.003773,2.881364,2.839778,4.352352,4.300028,3.987172,3.892095,3.761913,3.698333,3.515491,3.415105,3.370679,3.310927,3.072235,3.086751,3.086672,3.122697,3.082235,3.059587,3.088912,3.075552,3.050819,3.025352,3.044145,3.027681,3.025325,2.994357,2.957553,3.854729,3.830454,3.780299,3.80868,3.770457,3.752561,3.68973,3.843053,3.794447,3.70572,3.564275,3.548727,3.467857,3.375312,1.669497,,1.38345,,55.606495,41.93162
常用指标,每股现金流,0.103063,0.673972,0.401853,0.354548,0.068572,0.992335,0.614813,0.547791,0.171188,0.693664,0.599875,0.51963,-0.025827,0.553767,0.377916,0.275114,0.093617,0.371031,0.359326,0.239242,0.052499,0.542349,0.355829,0.143236,0.048586,0.243786,9e-05,-0.044473,-0.134138,0.571349,0.171418,0.188017,0.059446,-0.511029,-0.917003,-0.842853,-0.208218,-0.258134,0.082903,0.096288,0.007303,0.207449,0.06476,0.058193,0.047901,0.076665,0.072172,0.071067,-0.049589,0.212081,0.173952,0.099713,0.046644,0.248548,0.115653,0.010087,-0.05396,0.131548,-0.009312,-0.096869,-0.11742,0.251987,-0.176918,-0.297571,-0.218244,0.443952,0.297754,0.30667,0.224434,0.29018,0.202289,0.164949,,0.616974,,9.434602,14.803189
常用指标,净资产收益率(ROE),5.07,22.04,17.9,10.87,5.26,18.74,14.63,8.77,3.72,16.05,13.51,8.35,3.48,11.01,8.73,5.85,2.3,15.07,13.77,10.95,1.68,11.43,10.33,8.37,7.03,6.43,4.35,2.82,1.55,7.38,3.37,1.88,1.27,15.14,7.56,5.13,1.73,13.39,8.29,5.4,1.79,32.94,-0.01,15.19,5.25,29.9,1.97,1.1,0.45,3.21,2.52,1.57,0.56,3.37,3.3,2.27,1.03,4.84,4.19,2.88,1.01,4.67,4.18,2.5,1.27,11.8,,5.53,,20.28,,18.74,,33.33,,27.38,39.12
常用指标,总资产报酬率(ROA),3.813395,17.828204,15.310436,9.610816,4.617335,16.575403,13.569039,8.821568,3.411912,14.743812,12.66697,7.979528,3.244721,10.324312,8.278073,5.511314,1.985146,13.595139,12.054458,9.987629,1.553007,10.756413,9.571605,7.485915,6.178168,5.877308,4.076718,2.571438,1.414382,6.609399,3.005154,1.777308,1.215605,14.295985,7.230055,4.802728,1.840575,13.087042,7.955987,5.417164,1.724802,17.138205,-0.260162,0.361726,0.329003,2.737868,1.2106,0.951407,0.257218,2.583001,1.721877,1.286329,0.374721,2.70138,2.596463,1.824449,0.823636,3.937477,3.17127,2.353987,0.602475,4.144679,3.179503,2.323056,0.992923,10.066249,7.189084,4.922677,1.693166,12.639306,10.099076,10.304695,,19.093686,,19.947644,22.813458
常用指标,毛利率,53.246494,54.489396,55.439519,55.492379,55.205598,48.802078,49.885081,47.756717,52.390883,52.234293,54.469076,54.336016,51.446576,49.304426,48.942308,47.279502,47.779763,48.427167,50.233696,52.439722,51.694488,47.135827,50.038095,50.037408,51.514255,49.849555,50.725027,50.860379,52.016821,43.517385,47.60376,46.650438,56.502208,36.29034,40.755182,36.087496,54.034504,47.939894,46.716617,44.028065,53.011622,64.489894,29.278747,30.590848,35.531543,31.628517,29.50036,29.047527,28.721893,28.753583,28.319778,28.217387,26.891551,30.905447,31.743821,31.96484,31.520794,31.350485,31.199685,30.532712,30.63064,34.188612,34.796803,34.704867,34.206468,35.206012,34.97874,33.264547,32.540239,36.839339,38.713895,39.953584,40.185773,41.870136,41.202369,41.582639,43.558432
常用指标,销售净利率,30.921252,29.653391,32.514651,33.341986,34.29662,26.689357,29.365324,28.402905,28.561391,28.078524,32.03285,32.006275,29.21936,21.257174,24.095204,24.932589,20.673902,27.474408,35.512587,44.205414,13.761266,21.446381,29.453445,37.511883,78.885768,13.100444,12.672487,13.237768,15.225944,14.769001,11.678013,10.114324,17.71579,16.874166,14.991078,12.730653,16.518994,22.591879,20.732322,19.496928,19.176439,33.693666,-0.059108,2.307363,5.516262,6.112442,4.828837,4.5474,3.988919,5.06318,5.084319,5.424801,4.212058,6.216272,7.869016,8.611349,7.970144,7.420518,8.514078,8.587277,7.260291,8.114026,10.317838,9.70359,10.665817,15.654637,16.220979,15.070614,13.759973,18.028055,18.274267,19.065641,17.505758,20.540765,18.139937,20.383431,28.088636
常用指标,期间费用率,22.046091,19.922505,17.135263,15.790562,16.823161,18.185391,15.799327,14.757542,17.683325,21.189607,18.478999,19.112766,21.468366,23.912779,19.805285,19.392675,25.935589,29.442342,26.752884,28.465786,34.604385,30.207546,31.392686,33.557335,40.964351,34.014865,34.236124,33.434239,32.614806,24.963466,32.678499,30.581229,39.084142,14.035725,17.897114,14.656945,31.02596,19.14804,20.157232,18.614837,29.255307,23.943063,31.949863,30.783467,32.843833,27.012597,25.981189,25.525735,25.614315,22.170497,22.701424,22.386696,22.986221,26.459412,25.296215,25.226329,25.566719,23.982556,22.857746,22.077322,22.906606,26.177736,24.868508,26.199275,23.717982,17.186509,15.669875,15.475498,17.691962,17.828112,16.507514,16.117476,16.332616,19.951027,19.52913,17.065898,13.3355
常用指标,资产负债率,37.178419,39.091728,29.654763,29.918111,25.100356,28.632535,29.456261,26.339532,24.985167,25.573256,26.314161,23.094896,22.228352,24.976277,24.814822,18.374579,22.237292,30.442648,32.909189,30.668883,37.424887,35.62681,36.077861,37.361408,38.380545,37.292332,39.075805,41.380213,41.49757,42.022108,50.379003,40.213153,27.212969,31.262111,28.911313,28.6578,19.430848,17.436213,14.606223,14.26816,14.936723,17.36414,20.283039,19.887255,21.105782,23.042218,25.868876,25.973627,26.216623,28.344313,29.819746,30.450005,30.096471,30.717825,29.455354,27.861152,27.254859,30.395816,29.066825,29.385225,30.258979,32.951866,29.443639,28.193855,25.641404,26.554594,25.652778,27.857312,28.461802,28.86477,29.258437,54.872409,,58.719105,,32.280043,35.603496
每股指标,基本每股收益,0.1825,0.79,0.6422,0.4118,0.1912,0.69,0.551,0.3509,0.1416,0.61,0.5125,0.3201,0.1316,0.42,0.3375,0.2244,0.09,0.55,0.5062,0.3976,0.06,0.38,0.3423,0.28,0.23,0.2,0.1323,0.09,0.05,0.22,0.0968,0.0541,0.04,0.4,0.2906,0.13,0.06,0.47,0.28,0.18,0.06,0.72,0.43,0.3,0.1,0.58,0.057,0.034,0.01,0.1,0.07,0.05,0.02,0.1,0.1,0.07,0.04,0.18,0.16,0.11,0.04,0.18,0.16,0.1,0.05,0.43,0.34,0.2,0.08,0.47,0.38,0.29,,0.48,,,
每股指标,稀释每股收益,0.1825,0.79,0.6422,0.4118,0.1912,0.69,0.551,0.3509,0.1416,0.61,0.5125,0.3201,0.1316,0.42,0.3375,0.2244,0.09,0.55,0.5062,0.3976,0.06,0.38,0.3423,0.28,0.23,0.2,0.1323,0.09,0.05,0.22,0.0968,0.0541,0.04,0.4,0.2906,0.13,0.06,0.47,0.28,0.18,0.06,0.72,0.43,0.3,0.1,0.58,0.057,0.034,0.01,0.1,0.07,0.05,0.02,0.1,0.1,0.07,0.04,0.18,0.16,0.11,0.04,0.18,0.16,0.1,0.05,0.43,0.34,0.2,0.08,0.47,0.38,0.29,,0.48,,,
