      选项                  指标      20260331      20251231      20241231      20231231      20221231      20211231
49  盈利能力  总资产净利率_平均(含少数股东损益)  4.082279e+00  1.458278e+01  2.245089e+01  2.445664e+01  2.265389e+01  2.241734e+01
50  成长能力               归母净利润  2.329658e+09  8.135775e+09  1.166849e+10  1.158223e+10  9.607174e+09  8.001554e+09
51  成长能力               营业总收入  8.352016e+09  3.328216e+10  3.672575e+10  3.493190e+10  3.036564e+10  2.526958e+10
52  成长能力                 净利润  2.426538e+09  8.451471e+09  1.173997e+10  1.157841e+10  9.610717e+09  8.004046e+09
53  成长能力               扣非净利润  2.296470e+09  8.068551e+09  1.144204e+10  1.143373e+10  9.525118e+09  7.850417e+09
54  成长能力            营业总收入增长率  1.394129e+00 -9.376500e+00  5.135273e+00  1.503758e+01  2.016679e+01  2.018342e+01
55  成长能力         归属母公司净利润增长率 -1.137201e+01 -3.027566e+01  7.447710e-01  2.055810e+01  2.006636e+01  2.018538e+01
56  收益质量        经营活动净现金/销售收入  1.653530e-01  3.048170e-01  3.385100e-01  3.166740e-01  3.998310e-01  3.561050e-01
57  收益质量      经营性现金净流量/营业总收入  1.653530e-01  3.048170e-01  3.385100e-01  3.166740e-01  3.998310e-01  3.561050e-01
58  收益质量               成本费用率  6.957497e+01  6.976541e+01  6.452123e+01  6.190653e+01  6.414642e+01  6.484298e+01
59  收益质量               期间费用率  3.144505e+01  3.008097e+01  2.763289e+01  2.806724e+01  2.829904e+01  2.984947e+01
60  收益质量               销售成本率  3.812992e+01  3.968444e+01  3.688834e+01  3.383929e+01  3.584739e+01  3.499352e+01
61  收益质量   经营活动净现金/归属母公司的净利润  5.928060e-01  1.246957e+00  1.065437e+00  9.550860e-01  1.263758e+00  1.124612e+00
62  收益质量            所得税/利润总额  4.517664e+00  1.263695e+01  9.829181e+00  1.101010e+01  1.225935e+01  1.123466e+01
63  财务风险                流动比率  2.388584e+00  2.363024e+00  2.459605e+00  2.660216e+00  2.600364e+00  2.472438e+00
64  财务风险                速动比率  1.941229e+00  1.931654e+00  2.003350e+00  2.266395e+00  2.258395e+00  2.059261e+00
65  财务风险              保守速动比率  1.844441e+00  1.840660e+00  1.905575e+00  2.185962e+00  2.195996e+00  1.987633e+00
66  财务风险               资产负债率  2.477439e+01  2.742759e+01  2.804444e+01  3.044214e+01  3.154573e+01  2.922334e+01
67  财务风险                权益乘数  1.520157e+00  1.567421e+00  1.516984e+00  1.455213e+00  1.439725e+00  1.421636e+00
68  财务风险     权益乘数(含少数股权的净资产)  1.329334e+00  1.377934e+00  1.389746e+00  1.437652e+00  1.460829e+00  1.412895e+00
69  财务风险                产权比率  3.682164e+01  4.267269e+01  4.430279e+01  4.410999e+01  4.610927e+01  4.131287e+01
70  财务风险                现金比率  1.540105e+00  1.546678e+00  1.596227e+00  1.859629e+00  1.969926e+00  1.781290e+00
71  营运能力             应收账款周转率  2.392392e+00  1.004377e+01  1.127521e+01  1.173425e+01  1.406668e+01  1.629353e+01
72  营运能力            应收账款周转天数  3.761925e+01  3.584310e+01  3.192846e+01  3.067942e+01  2.559240e+01  2.209466e+01
73  营运能力               存货周转率  6.209050e-01  2.706207e+00  3.101518e+00  2.953867e+00  2.868231e+00  2.488784e+00
74  营运能力              存货周转天数  1.449496e+02  1.330275e+02  1.160722e+02  1.218741e+02  1.255129e+02  1.446489e+02
75  营运能力              总资产周转率  1.405090e-01  5.742740e-01  7.023230e-01  7.378530e-01  7.157630e-01  7.077380e-01
76  营运能力             总资产周转天数  6.405242e+02  6.268781e+02  5.125842e+02  4.879020e+02  5.029594e+02  5.086627e+02
77  营运能力             流动资产周转率  3.011660e-01  1.254586e+00  1.398494e+00  1.215423e+00  1.169243e+00  1.176249e+00
78  营运能力            流动资产周转天数  2.988382e+02  2.869471e+02  2.574198e+02  2.961931e+02  3.078913e+02  3.060575e+02
79  营运能力             应付账款周转率  1.012196e+00  4.458862e+00  5.225795e+00  4.727711e+00  4.963060e+00  4.690833e+00
