code,sym,last_date,r30_pct,r90_pct,avg30_amount_yi_est
600089,sh600089,2026-07-08,-21.893260615504484,-32.85331547220361,31.145027857
601179,sh601179,2026-07-08,-17.710529579560962,-15.671072699542455,25.21534542226667
600550,sh600550,2026-07-08,-20.208799403430277,-38.50574712643679,4.871122779
688676,sh688676,2026-07-08,-19.49417152373023,-23.567948933310934,1613.554448563
002028,sz002028,2026-07-08,-18.903826266804547,-29.731182795698917,24.067880850999998
002922,sz002922,2026-07-08,-34.965448263320596,-38.14321542852201,9.437416151133334
301291,sz301291,2026-07-08,-31.573463007988888,-34.50797872340425,4.277018861
603191,sh603191,2026-07-08,-30.932817786370236,-41.21760592348828,2.608786692666667
002112,sz002112,2026-07-08,-18.00433839479394,-38.7358184764992,2.6031931473333336
603097,sh603097,2026-07-08,-20.518867924528294,-37.34429033577511,0.5235472750333333
301012,sz301012,2026-07-08,-38.916256157635466,-24.899057873485862,2.4659942293333335
301120,sz301120,2026-07-08,-34.64912280701754,-34.02993004516072,4.358083461333334
000533,sz000533,2026-07-08,-27.280405405405407,-25.647668393782386,3.1738150333333333
603861,sh603861,2026-07-08,-10.588235294117654,-24.544953116381684,4.501903507
002350,sz002350,2026-07-08,-2.8869699703570117,48.50216791486008,2.781193404866667
002270,sz002270,2026-07-08,-21.75408426483234,-46.32851666175169,4.238510103666667
000400,sz000400,2026-07-08,-21.79333307522553,-35.56413282720342,5.0789981809
600312,sh600312,2026-07-08,-20.65014143932492,-27.179126149513788,4.012209768933333
600406,sh600406,2026-07-08,-9.988803582853478,-15.082239323977653,16.0919506456
300001,sz300001,2026-07-08,-12.657153466659587,15.942539257798739,14.970307947333334
300444,sz300444,2026-07-08,-25.458248472505097,-29.389067524115752,5.122384576333333
603050,sh603050,2026-07-08,-17.956391620350576,-10.544471377960097,2.092371845
300062,sz300062,2026-07-08,-26.111111111111107,-40.82313681868743,1.002406533
300477,sz300477,2026-07-08,-15.384615384615385,-25.0,0.653121724
002452,sz002452,2026-07-08,1.6778523489932917,14.124293785310726,4.216532962
603530,sh603530,2026-07-08,-12.748579545454541,-0.5061753391374824,1.881194536
300617,sz300617,2026-07-08,-23.678681105543887,-18.162911611785105,5.233439527
002879,sz002879,2026-07-08,-20.024645717806532,-41.18979656562911,0.6755631923333334
002498,sz002498,2026-07-08,-32.276330690826725,-26.7156862745098,6.064169283
600973,sh600973,2026-07-08,-12.256267409470755,-14.634146341463417,3.465290723333333
