code,mkt,name,latest_report,latest_notice,q1_revenue_yi,q1_np_yi,q1_rev_yoy_pct,q1_np_yoy_pct,ann_report,ann_revenue_yi,ann_np_yi,ann_rev_yoy_pct,ann_np_yoy_pct,roe_pct,gross_margin_pct,debt_asset_pct,ocf_np_ratio,ocf_rev_ratio,roic_pct,eps
600089,SH,特变电工,2026一季报,2026-04-30 00:00:00,249.61284684650002,18.1452951469,6.750421354504,13.395220256747,2025年报,973.1807703024001,59.5429495825,-0.600816118375,43.687328928891,8.7546,18.8023708851,55.6002375474,1.554850321659,0.095967943993,5.107692325007,1.161
601179,SH,中国西电,2026一季报,2026-04-28 00:00:00,55.239059435200005,3.4660077007,4.99334126784,17.53644677215,2025年报,238.1299898175,12.696795961400001,6.878046268084,20.445536546794,5.64,22.7485658663,46.968574771,1.813314218229,0.115345248262,5.349025706214,0.25
600550,SH,保变电气,2026一季报,2026-04-11 00:00:00,16.3518038271,0.59563649,10.564166490458,110.392812212108,2025年报,57.0819180438,1.9701657598,20.418176583589,104.536784411825,27.44,15.3442760798,88.4567841595,0.976567422118,0.03779347926,8.980029922611,0.107
688676,SH,金盘科技,2026一季报,2026-04-24 00:00:00,15.227836943900002,1.1242559940999999,13.413878164326,4.833525871856,2025年报,72.9498663641,6.595387724,5.711280274295,14.817921516143,14.05,25.8529973007,57.8641191283,0.918759289959,0.082381593115,9.3790383928,1.44
002028,SZ,思源电气,2026一季报,2026-04-25 00:00:00,45.6866386762,5.4995287075,41.595592307518,23.16986834821,2025年报,215.39031405330002,31.5014266504,39.338439172515,53.735272885299,22.63,30.7747999649,47.0482666977,0.685429729739,0.103731615001,22.043699449097,4.04
002922,SZ,伊戈尔,2026一季报,2026-04-29 00:00:00,12.755935966,0.6867390386,17.707449480459,63.52938593044,2025年报,52.63733523649999,2.0024192711,13.39570603551,-31.446346952794,5.9,17.7817469911,57.9428353905,2.979693304833,0.121685814544,4.187878150635,0.5
301291,SZ,明阳电气,2026一季报,2026-04-29 00:00:00,9.6242134625,0.24606702579999998,-26.2836318696,-78.080943306226,2025年报,69.0962656543,5.882907733300001,7.224526563407,-11.203920917592,12.12,21.1400378011,46.6573830411,0.162898525397,0.01386930228,11.753714958909,1.88
603191,SH,望变电气,2026一季报,2026-04-30 00:00:00,8.8895248671,0.1228684114,13.030625176854,-15.238835700875,2025年报,39.1700827918,0.6924321973,16.870847851105,6.255896823521,2.83,11.4071412919,65.5808933088,3.115119282567,0.058674497844,2.013193164916,0.21
002112,SZ,三变科技,2026一季报,2026-04-28 00:00:00,5.1429960527,0.2106808475,91.170787533411,12.282966653635,2025年报,18.7333018726,0.1393495629,-13.960325512024,-88.46169122208,1.86,15.6411964502,66.0516990775,4.134754393263,0.030756789237,2.207317048374,0.05
603097,SH,江苏华辰,2026一季报,2026-04-24 00:00:00,2.5053259888999997,0.0013044246,-13.33426168616,-99.368837059795,2025年报,22.564365384000002,0.703888752,42.728776746236,-23.163439360184,6.56,16.2256116912,65.0605964482,0.401298974677,0.012533569998,5.046510779488,0.44
301012,SZ,扬电科技,2026一季报,2026-04-28 00:00:00,3.8842049245,0.20552394670000002,18.691887053319,36.092648700167,2025年报,12.790479081800001,0.39292488509999995,-4.070252442017,-44.14284122558,3.39,10.5038313108,23.6615954079,4.681137198983,0.148043304632,3.000786150935,0.1995
301120,SZ,新特电气,2026一季报,2026-04-24 00:00:00,1.2619865915000001,-0.0187706285,43.136475433485,-120.540777805213,2025年报,4.2113607344,0.4302078904,11.701345232228,188.681423714921,2.82,22.5555412278,9.4128414596,-0.158357891563,-0.015564358205,2.522107132134,0.12
000533,SZ,顺钠股份,2026一季报,2026-04-30 00:00:00,4.91965314,0.1691401448,1.125527941043,-13.279231200462,2025年报,22.3904104727,1.0194944812,-7.461153335252,8.396372888579,11.1,20.9931478511,60.9154855084,2.470933847654,0.156145991618,12.021105314974,0.1476
603861,SH,白云电器,2026一季报,2026-04-25 00:00:00,9.7402768343,0.3404341986,-0.19652471882,-7.094667703782,2025年报,49.2822050222,2.041803421,-1.144176253449,4.011946219343,5.51,19.2963003807,60.8218256902,-1.157854383119,-0.052719588735,4.300173758942,0.4
002350,SZ,北京科锐,2026一季报,2026-04-29 00:00:00,5.181634964200001,-0.2388976806,19.263477044848,-326.206318332187,2025年报,21.5158107508,0.5452201004,5.342424485511,39.055308904058,3.25,20.9997048577,40.9212746818,5.917657393418,0.168555503955,3.323885770911,0.1062
002270,SZ,华明装备,2026一季报,2026-04-27 00:00:00,5.3027178647,1.6302654806999999,4.070896752411,-4.852560095809,2025年报,24.2679460012,7.097373602699999,4.503984166499,15.536192044577,22.04,54.489396329,39.0917281465,0.839367501858,0.248900934125,17.730396980249,0.79
000400,SZ,许继电气,2026一季报,2026-04-11 00:00:00,23.7775158279,1.1104623014,1.260555195613,-46.504418957072,2025年报,149.9190606624,11.6721000973,-12.272285773602,4.502079915038,9.94,23.3572080334,49.0306647393,2.035585442041,0.178121618637,9.40659787593,1.1531
600312,SH,平高电气,2026一季报,2026-04-22 00:00:00,24.4994783013,4.148464791,-2.405206833424,15.750732467609,2025年报,125.16931784559999,11.198330309600001,0.929882884996,9.4472840188,10.28,23.9159696944,46.8123904408,0.659404367071,0.064765083158,10.145014546797,0.8253
600406,SH,国电南瑞,2026一季报,2026-04-30 00:00:00,95.64242921530001,7.2129197343,7.522465627317,6.042416850954,2025年报,662.2896322321,82.7897172332,14.525179185846,8.787323481758,16.26,25.83709383,42.7305696423,1.441476413803,0.192796346245,15.510115748384,1.04
300001,SZ,特锐德,2026一季报,2026-04-28 00:00:00,22.1593324371,0.7193277189,5.40906375072,11.046238059737,2025年报,157.8632320192,12.4306487645,2.678770176934,35.622986452063,15.68,27.3639885841,63.0250696821,1.777272022573,0.147902557393,9.932035662005,1.2
300444,SZ,双杰电气,2026一季报,2026-04-24 00:00:00,5.5516233574000005,2.8148307096,-7.115383206255,29615.0124045733,2025年报,48.3476730771,1.854570211,39.228987693856,129.410773896821,10.78,15.1859456456,76.0846041709,0.027984285296,0.001088753318,6.302808141634,0.2322
603050,SH,科林电气,2026一季报,2026-04-29 00:00:00,8.6646612261,0.42389948409999995,-4.972549941318,-41.696513886015,2025年报,43.8785152697,2.5797590075,7.052481938828,45.060359503522,14.49,19.2972852321,62.0325799913,2.429723827501,0.142797234377,11.185419880342,0.64
300062,SZ,中能电气,2026一季报,2026-04-25 00:00:00,2.3905331651,0.028036014300000002,11.251284175757,121.002761063093,2025年报,11.5710462855,-0.9345757353,0.835839954279,-20.549295122541,-7.71,18.6927356648,48.3012527456,,-0.018565684139,-4.143124336206,-0.17
