relative_path,bytes,pdf_header,eof_marker,pages,sha256,visual_review,admission
research/source_docs/国电南瑞/asof-20211231/peers/601126_2020_annual_20210319.pdf,3851767,true,true,184,0E7B188B92FDB7F60E26531BCD397D114EF6F39016BA274C62426E42DD18EA30,封面及关键页通过,准入
research/source_docs/国电南瑞/asof-20211231/peers/601126_2021_h1_20210831.pdf,3118378,true,true,147,454F8F5D0DAD519309D0F63E1B4BDED181895F1C888D3BD781F0EBC026C94971,封面及关键页通过,准入
research/source_docs/国电南瑞/asof-20211231/peers/601126_2021_q3_20211030.pdf,665203,true,true,14,028B77D11FAC0EDD0F51AAB4FAC837358DE25FCB6394111C9FEE434DA401A0EF,封面及关键页通过,准入-镜像
research/source_docs/国电南瑞/asof-20211231/secondary/600406_2017_annual_review_20180423.pdf,644219,true,true,5,4443D4ADC42D9CFB91A301C9031463075C389C9D789A0AE0A6B5CDF080498034,封面及关键页通过,准入
research/source_docs/国电南瑞/asof-20211231/secondary/600406_2018_audit_report_republished_20210806.pdf,10542574,true,true,150,793D26AF7FDC1EB37AC8DEF15D72224114B3539A2248C0C3CF0F33E622D2AC03,封面及合并现金流量表通过,准入
research/source_docs/国电南瑞/asof-20211231/secondary/600406_2019_audit_report_republished_20210719.pdf,12088067,true,true,153,5F79A38598B30316EBF8359D3AFD062499B4799F5114F116B77EAC5D8B4357DA,封面及合并现金流量表通过,准入
research/source_docs/国电南瑞/asof-20211231/secondary/600406_2020_annual_review_20210423.pdf,1008578,true,true,9,4622B067465D4B78330244898A72DE53C9D6D7C712E4E5787D9D1B5BA8EB037F,封面及关键页通过,准入
research/source_docs/国电南瑞/asof-20211231/secondary/600406_2020_audit_report_republished_20210719.pdf,9365785,true,true,155,33078D522A9A4E30E98FE899B802946821121D5BFAA1EF340AB04DDC9B3A6BF7,封面及合并现金流量表通过,准入
research/source_docs/国电南瑞/asof-20211231/secondary/600406_credit_rating_20200521.pdf,1808055,true,true,20,3C2D61FE545931417A5BCE450EDEC1E72F1CAFF34AE1C0FF958F3639AB3CC3DD,封面及财务表通过,准入
research/source_docs/国电南瑞/asof-20211231/secondary/600406_credit_rating_2019_20190711.pdf,1577258,true,true,24,94687A78655F4A89B786A138359A2FC0CB970C81667DD7612632240789B8B15F,封面及第22页财务表通过,准入
research/source_docs/国电南瑞/asof-20211231/secondary/600406_credit_rating_tracking_20210621.pdf,2411753,true,true,16,0B1D08C16AAED299559E91801D989EF9313DB137809BA3CF43741669A5A4AD8B,封面及第14页财务表通过,准入-镜像
research/source_docs/国电南瑞/国电南瑞-2021年年度报告.pdf,1048576,false,false,,D322B7FFA4E1A55EB16FA5B78ADBD8279F7294DBEDAD65219F7AD01AB3E5117A,无法渲染,禁用-损坏且越过时点墙
