period,field,primary_source,primary_value,secondary_source,secondary_value,deviation_pct,status,note
2025,revenue_100m_cny,CNINFO_2025_annual,662.2896322321,Eastmoney_AkShare,662.2896322321,0.0000,OK,
2025,parent_net_profit_100m_cny,CNINFO_2025_annual,82.7897172332,Eastmoney_AkShare,82.7897172332,0.0000,OK,
2025,operating_cash_flow_100m_cny,CNINFO_2025_annual,127.6870212504,Eastmoney_AkShare,127.6870212504,0.0000,OK,
2026Q1,revenue_100m_cny,CNINFO_2026_Q1,95.6424292153,Eastmoney_AkShare,95.6424292153,0.0000,OK,
2026Q1,parent_net_profit_100m_cny,CNINFO_2026_Q1,7.2129197343,Eastmoney_AkShare,7.2129197343,0.0000,OK,
2026-07-13,close_price_cny,Tencent,21.70,Sina,21.70,0.0000,OK,
