date,value
2020-06-27,1.61
2020-07-02,1.67
2020-07-07,1.82
2020-07-12,1.96
2020-07-17,1.96
2020-07-22,1.96
2020-07-27,1.77
2020-08-01,1.84
2020-08-06,1.92
2020-08-11,2.26
2020-08-16,2.07
2020-08-21,2.0
2020-08-26,1.91
2020-08-31,1.95
2020-09-05,1.9
2020-09-10,1.87
2020-09-15,1.9
2020-09-20,1.82
2020-09-25,1.74
2020-09-30,1.72
2020-10-05,1.72
2020-10-10,1.79
2020-10-15,1.9
2020-10-20,1.86
2020-10-25,1.8
2020-10-30,1.71
2020-11-04,1.74
2020-11-09,1.76
2020-11-14,1.72
2020-11-19,1.76
2020-11-24,1.73
2020-11-29,1.7
2020-12-04,1.74
2020-12-09,1.67
2020-12-14,1.63
2020-12-19,1.6
2020-12-24,1.61
2020-12-29,1.56
2021-01-03,1.58
2021-01-08,1.55
2021-01-13,1.45
2021-01-18,1.51
2021-01-23,1.47
2021-01-28,1.4
2021-02-02,1.41
2021-02-07,1.31
2021-02-12,1.36
2021-02-17,1.36
2021-02-22,1.48
2021-02-27,1.45
2021-03-04,1.49
2021-03-09,1.46
2021-03-14,1.49
2021-03-19,1.57
2021-03-24,1.54
2021-03-29,1.54
2021-04-03,1.46
2021-04-08,1.47
2021-04-13,1.39
2021-04-18,1.43
2021-04-23,1.38
2021-04-28,1.32
2021-05-03,1.32
2021-05-08,1.31
2021-05-13,1.34
2021-05-18,1.36
2021-05-23,1.34
2021-05-28,1.35
2021-06-02,1.36
2021-06-07,1.33
2021-06-12,1.34
2021-06-17,1.34
2021-06-22,1.36
2021-06-27,1.37
2021-07-02,1.33
2021-07-07,1.34
2021-07-12,1.39
2021-07-17,1.34
2021-07-22,1.4
2021-07-27,1.41
2021-08-01,1.5
2021-08-06,1.46
2021-08-11,1.63
2021-08-16,1.71
2021-08-21,1.97
2021-08-26,1.95
2021-08-31,1.98
2021-09-05,1.89
2021-09-10,2.05
2021-09-15,2.15
2021-09-20,2.02
2021-09-25,1.98
2021-09-30,2.03
2021-10-05,2.03
2021-10-10,1.99
2021-10-15,2.1
2021-10-20,2.39
2021-10-25,2.22
2021-10-30,2.29
2021-11-04,2.35
2021-11-09,2.28
2021-11-14,2.58
2021-11-19,2.96
2021-11-24,2.97
2021-11-29,3.0
2021-12-04,2.87
2021-12-09,2.6
2021-12-14,2.73
2021-12-19,2.75
2021-12-24,2.6
2021-12-29,2.56
2022-01-03,2.56
2022-01-08,2.32
2022-01-13,2.29
2022-01-18,2.32
2022-01-23,2.14
2022-01-28,2.04
2022-02-02,2.04
2022-02-07,2.1
2022-02-12,2.03
2022-02-17,2.24
2022-02-22,2.24
2022-02-27,2.29
2022-03-04,2.15
2022-03-09,1.99
2022-03-14,1.93
2022-03-19,1.91
2022-03-24,2.18
2022-03-29,2.1
2022-04-03,2.09
2022-04-08,2.0
2022-04-13,2.06
2022-04-18,2.06
2022-04-23,1.98
2022-04-28,1.54
2022-05-03,1.61
2022-05-08,1.59
2022-05-13,1.74
2022-05-18,1.77
2022-05-23,1.77
2022-05-28,1.74
2022-06-02,2.1
2022-06-07,2.05
2022-06-12,2.04
2022-06-17,2.15
2022-06-22,2.3
2022-06-27,2.38
2022-07-02,2.18
2022-07-07,2.22
2022-07-12,2.12
2022-07-17,2.25
2022-07-22,2.34
2022-07-27,2.29
2022-08-01,2.37
2022-08-06,2.16
2022-08-11,2.2
2022-08-16,2.51
2022-08-21,2.57
2022-08-26,2.5
2022-08-31,2.18
2022-09-05,2.18
2022-09-10,2.19
2022-09-15,2.05
2022-09-20,2.12
2022-09-25,2.0
2022-09-30,1.97
2022-10-05,1.97
2022-10-10,1.92
2022-10-15,2.05
2022-10-20,2.09
2022-10-25,2.28
2022-10-30,2.16
2022-11-04,2.37
2022-11-09,2.37
2022-11-14,2.27
2022-11-19,2.3
2022-11-24,2.22
2022-11-29,2.25
2022-12-04,2.31
2022-12-09,2.23
2022-12-14,2.19
2022-12-19,2.11
2022-12-24,2.03
2022-12-29,2.08
2023-01-03,2.13
2023-01-08,2.23
2023-01-13,2.25
2023-01-18,2.28
2023-01-23,2.29
2023-01-28,2.29
2023-02-02,2.33
2023-02-07,2.34
2023-02-12,2.36
2023-02-17,2.29
2023-02-22,2.44
2023-02-27,2.48
2023-03-04,2.45
2023-03-09,2.47
2023-03-14,2.39
2023-03-19,2.39
2023-03-24,2.43
2023-03-29,2.44
2023-04-03,2.47
2023-04-08,2.51
2023-04-13,2.55
2023-04-18,2.86
2023-04-23,2.63
2023-04-28,2.64
2023-05-03,2.64
2023-05-08,2.66
2023-05-13,2.59
2023-05-18,2.66
2023-05-23,2.61
2023-05-28,2.59
2023-06-02,2.63
2023-06-07,2.55
2023-06-12,2.63
2023-06-17,2.76
2023-06-22,2.78
2023-06-27,2.81
2023-07-02,2.85
2023-07-07,2.95
2023-07-12,2.98
2023-07-17,3.13
2023-07-22,3.09
2023-07-27,3.09
2023-08-01,3.09
2023-08-06,3.21
2023-08-11,3.15
2023-08-16,3.11
2023-08-21,3.08
2023-08-26,3.03
2023-08-31,3.27
2023-09-05,3.24
2023-09-10,3.25
2023-09-15,3.23
2023-09-20,3.19
2023-09-25,3.27
2023-09-30,3.73
2023-10-05,3.73
2023-10-10,3.61
2023-10-15,3.57
2023-10-20,3.49
2023-10-25,3.47
2023-10-30,3.46
2023-11-04,3.43
2023-11-09,3.44
2023-11-14,3.41
2023-11-19,3.47
2023-11-24,3.43
2023-11-29,3.65
2023-12-04,3.69
2023-12-09,3.53
2023-12-14,3.9
2023-12-19,3.85
2023-12-24,3.87
2023-12-29,3.85
2024-01-03,3.97
2024-01-08,3.89
2024-01-13,4.17
2024-01-18,4.16
2024-01-23,4.07
2024-01-28,3.94
2024-02-02,3.82
2024-02-07,4.22
2024-02-12,4.35
2024-02-17,4.35
2024-02-22,4.35
2024-02-27,4.43
2024-03-03,4.59
2024-03-08,5.03
2024-03-13,5.01
2024-03-18,5.16
2024-03-23,4.94
2024-03-28,4.81
2024-04-02,4.93
2024-04-07,4.96
2024-04-12,5.46
2024-04-17,5.63
