code,name,rev_2025,np_2025,roe_2025,gross_margin_2025,net_margin_2025,debt_asset_2025,eps_2025,bps_2025,price,pe_ttm,mktcap_billion,pb,total_shares,div_yield,time,pe_2025_static,pb_2025_static
002270,华明装备,2426794600.12,709737360.27,22.04,54.489396329,29.6533918188,39.0917281465,0.79,3.506026148426,19.86,25.38,177.99,5.7,896225431.0,2.07,20260706161454,25.139240506329113,5.664532767080467
002028,思源电气,21539031405.33,3150142665.04,22.63,30.7747999649,15.1338073767,47.0482666977,4.04,19.810869928475,174.2,41.9,1363.24,8.46,782573282.0,1.06,20260706161427,43.118811881188115,8.793152477853331
002452,长高电气,1665021322.03,342631421.4,13.65,38.8203294023,20.6404581577,27.4717207369,0.5523,4.372221931161,13.83,23.45,85.79,3.16,620332085.0,1.43,20260706161442,25.040738728951656,3.1631514176883466
600406,国电南瑞,66228963223.21,8278971723.32,16.26,25.83709383,13.3749220174,42.7305696423,1.04,6.554783794743,23.16,22.36,1860.15,3.74,8031756156.0,0.93,20260706161438,22.26923076923077,3.5332973176894935
600089,特变电工,97318077030.24,5954294958.25,8.7546,18.8023708851,6.17216607,55.6002375474,1.161,13.832315621266,21.35,17.49,1078.77,1.54,5052792571.0,0.73,20260706161430,18.38931955211025,1.5434870476188531
