排名,代码,简称,PEG,市盈率-TTM,市盈率-25E,市盈率-26E,市盈率-27E,市销率-24A,市销率-TTM,市销率-25E,市销率-26E,市销率-27E,市净率-24A,市净率-MRQ,市现率1-24A,市现率1-TTM,市现率2-24A,市现率2-TTM,EV/EBITDA-24A
30.0/142,002270,华明装备,0.52728101811,25.3756131,20.953669087092,17.23035696017,13.998982225656,7.334381351755,7.27222385,6.16820022016,5.232987664562,4.324858551303,5.664532767081,5.70222553,29.46707041,28.03248604,288.48628468,-97.33876962,26.024182930059
,行业中值,行业中值,0.435075898964,36.490315795,26.053811306352,18.692780002757,15.999361582073,2.824395026417,2.761913245,2.222185634756,1.875259422074,1.658917523239,2.991915632926,2.95039717,24.628825725,18.845369475,22.13851194,17.71188127,31.314411894024
,行业平均,行业平均,0.571928685756,18.02238153338,35.267233009887,24.67020438915,19.632737222604,4.295436594845,4.188370867394,3.43280705733,2.651670003801,2.248607588394,5.510522168335,5.991871628803,149.134094223803,-37.346606120423,-224.529405862747,38.245631122958,58.634354920823
1.0,301002,崧盛股份,0.069915476174,445.88930249,33.910173862609,23.201697905995,13.411563472116,5.300579517319,4.92305468,2.713903100889,2.085385023636,1.501205505614,6.448377434971,4.62258746,-135.30625618,-275.07196158,143.72370916,184.38192562,186.020708945165
2.0,920111,聚星科技,0.20995966966,29.15660773,26.432344939759,18.655481547619,15.299055997211,4.442759659066,3.60993541,2.915848790537,1.992267190338,1.639919741366,5.872524207,5.34836086,729.7376632,-72.8897171,-794.58558598,427.02262404,27.538721129239
3.0,600869,远东股份,0.226205607915,518.73531298,69.496674794452,39.819499684196,28.654422904865,2.022142132592,1.99020204,1.788286167483,1.578423528262,1.395900582011,13.703524179806,13.21281913,59.05869193,60.02140476,929.34957589,1357.99870126,42.595316370887
4.0,601222,林洋能源,0.227335336499,61.51152653,14.932415906309,12.034082669047,10.633726159184,2.281702587835,2.11582331,1.484191296627,1.287085747011,1.125065721096,0.729567187976,0.73420975,17.9755947,19.5384242,25.15008021,196.10412474,21.631522555813
5.0,920118,太湖远大,0.264330484108,28.19899186,25.202308421053,18.417071538462,13.77967942446,0.601469235402,0.57842931,0.523183676591,0.458333438622,0.399286103815,1.688405102332,1.65547104,-5.27838551,-4.12703915,-16.8975704,289.45108719,32.628121899016
