代码,简称,公告标题,公告时间,公告链接
601398,工商银行,工商银行A股2025年年度分红派息实施公告,2026-05-07,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601398&announcementId=1225279750&orgId=jjxt0000019&announcementTime=2026-05-07
601398,工商银行,工商银行2025年度利润分配方案公告,2026-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601398&announcementId=1225047530&orgId=jjxt0000019&announcementTime=2026-03-28
